gen,w_bar,w_var,k1_var,k2_var,f_var,mean_k1,mean_k2,mean_f
0,0.970045782282,0.00649642203001,145.333790252,132.860357904,63.9152829957,10000000.1629,99999999.7831,11.8082056285
1,0.947437860919,0.0109880284041,287.951181994,318.734405442,108.691485556,10000000.1075,99999999.0604,12.9547015841
2,0.931817631789,0.0134222023442,409.673627001,419.162237501,161.753497856,10000000.5558,99999999.5995,14.3826430629
3,0.926525644244,0.0133634279377,538.905147554,547.733860395,204.866447465,10000001.3383,99999998.7174,15.8976016702
4,0.924575521024,0.0124803626785,740.123539863,652.679660753,248.86897072,10000002.0484,99999998.3633,17.9663882653
5,0.918285916547,0.0132871833,891.060637031,797.829744548,272.562232895,10000001.1997,99999999.0365,18.5003680342
6,0.918491925123,0.0116231523588,1012.8144569,948.893966235,316.281249087,10000002.3612,99999999.0609,20.6215226397
7,0.921875707341,0.0101424721372,1231.48450967,1043.25444659,334.425980832,10000001.9932,99999998.9235,22.4106928951
8,0.922732744645,0.00852444102215,1387.93981066,1144.38597402,402.621796849,9999999.60398,99999998.4466,25.2360067919
9,0.922552029466,0.00807974870297,1624.79548738,1336.08618493,446.129513238,10000000.2683,99999998.9211,26.6059721669
10,0.921799101095,0.00776855591527,1680.07648355,1590.92823633,490.19906439,10000000.8646,99999997.7329,27.3048728285
11,0.920079954367,0.0075705182422,1841.12702966,1654.05912544,512.443517861,10000000.8755,99999997.671,28.6067260299
12,0.917336893434,0.00785583000663,2066.78245158,1875.65801724,525.900622693,10000000.5732,100000000.705,29.24079635
13,0.91686997406,0.00781556335485,2205.81818882,2035.50396876,585.62812828,9999998.66802,100000003.394,30.1655058785
14,0.915043867533,0.00788717717274,2293.35795026,2169.12545573,631.425444342,9999999.3363,100000000.811,30.9259175285
15,0.917437960289,0.00729165635484,2401.87342735,2169.56571806,653.233521805,9999999.40845,99999998.6814,30.4686747448
16,0.911544012015,0.00828265536613,2578.8306859,2459.40455881,678.456163544,9999998.63512,99999997.412,30.2502143142
17,0.912680748973,0.00823628414055,2713.25223363,2424.19624428,646.747653402,10000000.3296,99999998.8703,30.2415057168
18,0.915796205679,0.00695436115818,2882.10428122,2492.25221704,713.689125283,10000002.6794,99999999.9175,33.9641685249
