gen,w_bar,w_var,k1_var,k2_var,f_var,mean_k1,mean_k2,mean_f
0,0.963499768868,0.00864754703417,115.221087923,154.638704205,72.5282074931,10000000.1211,100000000.867,11.3977015366
1,0.944777393505,0.0109424882603,286.188661075,308.00264799,164.744414919,10000000.6657,100000001.674,14.1890981804
2,0.93191501756,0.0126224931707,434.796292864,425.908872643,241.560505065,10000000.5491,100000001.24,15.3025145618
3,0.931462014942,0.0107495313406,530.223841165,545.697009108,289.87434508,9999999.41975,100000000.839,17.5637050748
4,0.925387316473,0.0112185198365,661.50185095,648.657581072,289.202046395,9999997.91482,100000001.945,18.4871039882
5,0.92653710613,0.0102140164184,858.191217651,778.303168906,350.777188242,9999995.93652,100000002.138,20.2747894602
6,0.92146984175,0.0103657270528,1021.96921367,901.525670413,408.292421423,9999995.93398,100000002.219,22.098809921
7,0.922663571201,0.00920286363551,1079.20280335,1009.57594262,452.396042579,9999995.35508,100000002.743,23.2972745972
8,0.927419512455,0.00755300453746,1260.85089489,1105.12319751,412.057566123,9999994.9605,100000004.51,24.682883614
9,0.926638733563,0.00719120650174,1335.731772,1223.84277103,436.489182284,9999993.97922,100000004.326,25.0857442144
10,0.924970083754,0.00797039289963,1523.37955435,1435.20641636,467.171172231,9999992.67307,100000005.17,24.5953068866
11,0.921027257588,0.00814831743877,1544.04455349,1720.50593369,485.140171184,9999993.82216,100000006.724,26.2795575565
12,0.921031608645,0.00736513587506,1552.31747997,1936.65418076,513.756473401,9999995.16659,100000007.999,27.311479984
13,0.921605767459,0.00774516385319,1610.24328239,2130.7726243,500.505959013,9999996.08541,100000009.417,27.2641219767
14,0.922135092727,0.00687939133831,1753.55600614,2338.42389988,544.55945639,9999995.4804,100000006.568,29.4737405171
15,0.91683184622,0.00748828430405,1733.48765051,2546.18229126,633.584720268,9999998.26363,100000008.092,30.9683605334
16,0.917548934792,0.00725785162695,1934.76765218,2515.39586548,688.653885025,10000002.697,100000005.364,31.7621497399
17,0.911428383715,0.00789131140028,2122.76914711,2594.04892609,721.409379915,10000003.4934,100000005.782,33.3156048478
18,0.917286765578,0.00625990977739,2324.97429948,2544.58036821,756.65469249,10000005.2845,100000004.315,35.3452400732
19,0.923063133978,0.0049618032342,2554.54598718,2567.46216348,760.048596993,10000007.2505,100000004.007,34.7714191484
20,0.92575393099,0.00432152788684,2551.11965968,2676.45009617,714.776917079,10000008.601,100000005.03,35.2819405265
21,0.923703527096,0.00477471802268,2759.12895784,2709.68225883,776.117882149,10000010.4202,100000002.447,35.37993138
22,0.919003429043,0.0054792420859,2741.88977769,2969.50615955,908.483167174,10000009.3037,100000004.232,37.5027590847
23,0.916104010345,0.00613076134343,2801.70687388,3165.60224348,964.850081326,10000009.1029,100000006.701,37.9864661962
24,0.914570397544,0.00620766248485,3057.3911503,3312.59149457,1110.1772333,10000008.8115,100000009.661,39.9625879761
25,0.915698748436,0.00580320138721,3282.03738839,3653.56609587,1099.5604797,10000007.4469,100000009.635,40.5392051171
26,0.916171042044,0.00555517309005,3381.22512519,3883.51802342,1154.78270555,10000006.0018,100000013.419,41.3750673144
27,0.919126566124,0.00471507022903,3662.13553598,4009.03052644,1135.38752187,10000007.2548,100000010.57,41.597592856
28,0.917261723371,0.00467575050026,3681.60520791,4016.65783848,1150.87571703,10000009.3133,100000009.964,42.317016091
29,0.915517447765,0.00469896026836,3646.31518747,3958.98391979,1170.76698621,10000010.3169,100000009.957,43.242384457
30,0.911591905745,0.00486459801213,3529.12408771,4238.7356101,1255.28806791,10000007.1917,100000012.596,46.1664092697
31,0.913098352166,0.00496881187003,3316.59239612,4195.45485741,1219.92046433,10000011.5429,100000008.776,45.1414932233
32,0.90915545097,0.00504712196617,3364.96491342,4488.74577695,1252.04056441,10000011.6092,100000009.274,46.9575861427
33,0.911149306711,0.00481267488851,3305.86214364,4720.37851458,1235.63103624,10000012.6819,100000006.85,46.2674723345
34,0.911922833222,0.0043456703144,3334.84296927,5019.34072041,1268.90057683,10000012.3211,100000006.517,47.1851264311
35,0.912517352883,0.00429565823544,3221.98402771,4978.65157978,1437.76425913,10000010.7855,100000005.232,47.9687805741
36,0.917641725069,0.00357789153862,3441.16716484,5166.82292873,1249.78460308,10000010.2553,100000005.494,45.4415992628
37,0.912832538735,0.00476300280394,3337.77787563,5321.73864625,1238.23586667,10000010.2821,100000008.918,45.1900612788
38,0.912690362829,0.004209323423,3603.40497821,5714.40245583,1270.13002793,10000008.905,100000008.141,46.6340911856
39,0.912124774073,0.00494491084723,3327.69042557,5756.9990945,1302.56232118,10000005.7126,100000007.688,45.666369179
40,0.915066538943,0.00474451732232,3525.56622797,5680.76439984,1328.1105322,10000002.1593,100000011.415,44.7519639831
41,0.915461614947,0.00448456672354,3687.40484099,5933.70897457,1299.99854535,10000003.2447,100000010.564,45.7070311464
42,0.911431496212,0.0052959945281,3758.87829909,5619.54322061,1389.36418573,10000005.0342,100000006.928,46.091660684
43,0.916147040798,0.00422712843927,4105.28717163,5513.89540646,1495.66732985,10000005.6015,100000008.707,47.4055604661
44,0.915965833836,0.00482057575921,4317.82820295,5358.34336735,1715.92651343,10000004.9675,100000007.28,47.3207691771
45,0.910705441641,0.00596808847226,4805.83201134,5508.16427704,1624.59180081,10000009.9925,100000005.379,45.7560729569
46,0.913518321158,0.00529180817476,5402.54598513,5346.08787996,1529.8102378,10000011.5525,100000007.723,45.681523933
47,0.912971724974,0.0045722256694,5015.32399035,5474.23796798,1367.21917422,10000012.2707,100000005.007,46.6768581055
48,0.913237584675,0.00485664254911,5493.93633175,5551.29502955,1438.02174277,10000013.7894,100000002.667,46.2624921412
49,0.914599692866,0.0050327027931,5815.26017595,5406.16252171,1423.74954734,10000009.1881,100000002.237,44.9043645067
50,0.913131391298,0.0051459186701,5954.0089211,6135.5560386,1251.20935455,10000005.9008,99999999.551,45.0424859457
51,0.912321342508,0.00543677968378,5999.75198991,5983.23273393,1255.1406229,10000007.592,99999997.5734,44.7070627966
52,0.912282483291,0.00563187256865,6519.35207852,6074.82153975,1249.20702465,10000005.2913,99999997.5188,44.3287939483
53,0.912280025825,0.0055199334087,6571.25120116,6124.6452346,1295.11111027,10000006.1382,99999995.7687,45.6775977955
54,0.915840130974,0.00514131115079,5810.14951531,6320.18597272,1306.71111381,10000008.6524,99999999.7035,44.0879521613
55,0.909705803226,0.0067921514178,5866.84663788,6937.27710208,1185.95594472,10000010.7287,100000002.863,42.1107688858
56,0.912557608589,0.00559008985756,5456.83687111,7518.8004593,1300.6675555,10000012.6238,99999999.8499,45.1039847998
57,0.910763816425,0.00577966370676,5891.54133206,7708.42159758,1361.04189938,10000012.4308,99999998.0384,45.9759201779
58,0.914647365057,0.00509172788454,6376.79763004,8217.16198615,1489.13499355,10000014.4845,99999998.0983,47.0961066676
59,0.912910508015,0.00488944043531,6452.7354643,7884.70913329,1410.09546599,10000012.831,99999999.9562,47.3498738548
60,0.909700993779,0.00565450308716,6496.44172384,7766.2434336,1239.66959841,10000014.0404,99999997.1449,45.4592984036
61,0.911814820784,0.00511458090948,6883.13710206,8081.03804332,1189.14129744,10000011.5096,99999995.5183,45.5712811826
62,0.913194015132,0.00488644132153,7208.12906494,8053.99906657,1174.42540028,10000008.9393,100000003.035,45.3233617914
63,0.915863270551,0.00407755974659,7172.31776833,8643.97494155,1308.70772112,10000013.5954,100000005.427,47.5698894521
64,0.914629740095,0.00457513767743,7135.4886584,8549.34923271,1255.70658807,10000010.0696,100000001.258,45.8771433954
65,0.912165143955,0.00495401179389,6941.32263368,8600.16137017,1373.22447143,10000011.5656,99999998.92,46.0840312551
66,0.909974422249,0.0051124955751,6889.45628777,8600.98042197,1458.69701466,10000012.2378,99999996.5385,47.5624313931
67,0.907386616511,0.00553713837228,7362.44316176,8818.61443276,1499.44362875,10000008.895,99999998.642,48.0814229228
68,0.911604082394,0.00494449990661,6849.44145633,9515.63456022,1476.70087652,10000011.7432,100000000.842,47.9280199456
69,0.906770209263,0.00552602318414,7107.86123202,9353.94488997,1517.03051673,10000011.3757,100000000.742,49.1701691202
70,0.906730232002,0.00528208633616,7390.18915125,9249.68173966,1485.93038775,10000008.6067,99999993.6159,48.8986781435
71,0.904775959791,0.00572398072558,8184.85779634,9505.56108208,1501.12765627,10000009.7981,99999986.588,49.0963962453
72,0.909807253975,0.00415817795025,8126.94517372,9802.56870843,1536.56484318,10000011.5147,99999987.0398,52.9971908531
73,0.908451789794,0.00425259264804,7972.97352733,9984.50209956,1468.32068944,10000011.3767,99999983.3386,52.5205182027
74,0.90808396727,0.00442639854762,8261.41463639,10380.1617864,1380.66935877,10000009.2273,99999983.6715,51.7794443418
75,0.911199166865,0.00423696317764,7834.36514026,10642.1472141,1504.51470043,10000008.0774,99999981.2347,51.6702068985
76,0.907393098092,0.00500506536393,7669.01492672,11556.4282419,1504.1345958,10000007.0105,99999979.8482,51.0674863815
77,0.909060704179,0.00448534229821,7762.09754174,11979.587197,1601.49196807,10000008.2212,99999975.897,52.3053732307
78,0.909728512021,0.00421542457427,7588.50956827,12229.1787432,1559.16355359,10000007.2397,99999969.2068,53.3099928422
79,0.91139125413,0.00429824331906,7310.80300383,12301.2301771,1497.6457523,10000002.8288,99999970.2366,50.4928742603
80,0.910762287833,0.00463769353635,6986.28119877,12579.8303934,1548.63210531,10000002.703,99999970.287,50.4174187414
81,0.911070067846,0.00427160284762,7156.05727577,12427.1847971,1545.62414788,10000000.402,99999969.0424,50.432825225
82,0.91355553583,0.00430736784894,7468.96378385,12483.7858296,1573.47381132,10000001.7781,99999974.7147,49.7713745104
83,0.910821126833,0.00436642478959,7815.62735297,12029.2385753,1487.81857417,10000001.9198,99999973.1097,51.3027243517
84,0.908949790387,0.00479507157019,8427.31724594,12322.3189288,1479.75829591,9999999.43852,99999974.9108,51.2559324205
85,0.907969154597,0.00469083145107,8282.07941601,12084.8230267,1531.04396267,9999999.50811,99999979.5141,52.1800224122
86,0.907605792335,0.00448250925529,8080.11306135,11554.9919309,1775.14898647,10000002.0344,99999976.5027,54.0401886469
87,0.907703509469,0.0047305945385,7956.68577778,10812.1969724,1795.7221329,10000002.25,99999976.6306,53.9170122767
88,0.907080882859,0.0046480912981,8481.79075034,11662.9966866,1904.79488725,9999996.63393,99999970.1846,55.1236101735
89,0.904926931936,0.00480376661263,8603.83159085,11470.1157906,1884.4096006,9999997.871,99999968.1586,56.2565071381
90,0.905038134333,0.00475669061354,9258.2512401,12611.5757149,2013.89413644,9999995.00436,99999960.5917,56.5545396825
91,0.906926906235,0.00384620525284,9107.94988041,12464.3335187,2020.15275304,9999996.68304,99999963.8171,58.6886050122
92,0.908345118998,0.00352053572669,9453.48985576,12522.0890517,1812.66870502,9999997.6967,99999959.6826,57.2626138101
93,0.908409673627,0.00338520580764,10060.38904,12066.7464843,1692.55584671,9999996.73134,99999960.0725,56.4511443154
94,0.905724558607,0.00399696402908,10173.4671547,11534.9263662,1841.85087222,9999997.50479,99999966.9366,57.695924491
95,0.905461368295,0.00366543500348,9622.52885396,10978.9194278,1897.26978191,10000003.9002,99999974.2014,60.8562380317
96,0.903917351994,0.00393806930904,9896.5974107,10851.5432517,2147.64025758,10000002.8941,99999970.5122,61.9159967668
97,0.906590400148,0.00407056577654,10386.2019445,11237.0523538,2155.82189503,9999998.59516,99999968.9726,58.7952094639
98,0.905028246892,0.00452147933872,10502.3889361,11074.5490444,2138.65499639,9999994.62912,99999965.9765,58.3536298589
99,0.902958111997,0.0050742726017,10065.1316413,11376.9772834,2031.45282081,9999993.74077,99999964.7627,57.7419122287
100,0.905306682815,0.00432842559756,10391.6838849,11851.8099393,2039.37660723,9999992.90677,99999958.5143,58.9042398202
101,0.903423659456,0.00515077394405,9854.88117208,11614.9982237,1816.72315741,9999995.22876,99999963.1202,55.2215424038
102,0.906772154284,0.00469674952754,10701.8793066,11078.2676506,1859.35108177,9999992.58022,99999961.5155,55.2861360609
103,0.911573385763,0.00397271493615,10701.9516382,11553.6476231,1649.84071675,9999989.39408,99999958.5775,53.4289707821
104,0.907197825141,0.00440572137794,10544.1715398,12072.2242143,1809.36762187,9999984.71347,99999955.7398,55.2400205624
105,0.908206497972,0.00371454387248,10723.9662131,12778.0329445,1974.8370055,9999985.16322,99999953.8413,57.5866193518
106,0.903445920891,0.00398535125793,9675.98976298,12084.2356001,2028.50011261,9999987.85165,99999953.2727,61.0536812717
107,0.906998301305,0.00390359775178,10163.5226419,12456.3366337,2069.02702017,9999983.05162,99999956.2808,57.9897578663
108,0.907918544557,0.00431527846322,9905.72584683,12797.1388183,2058.53007957,9999985.91986,99999955.1425,56.7567796941
109,0.910539344204,0.00404506063088,8168.36194926,11942.9677705,2036.26317883,9999986.56356,99999955.4199,55.5922107988
110,0.912689672291,0.00405080945276,8185.87756625,11807.9117212,1983.27293061,9999984.45236,99999955.7679,53.7083859593
111,0.908763239989,0.00403011471979,8567.85073555,11490.9661825,1966.41475869,9999980.62929,99999958.3775,55.7838780984
112,0.908231474817,0.00424079721317,8186.53558044,10803.9037769,1972.5758819,9999979.89928,99999959.8682,56.7718636791
113,0.906744926472,0.00463243863608,7970.16495626,10323.2036968,2096.73685998,9999981.15598,99999963.4767,58.1460723643
114,0.907818341344,0.00467739726041,7518.34901804,10592.7471254,1877.98580354,9999976.93223,99999959.1822,55.9600797465
115,0.911427436577,0.00492083963538,7614.50787628,10844.2327948,1852.90456768,9999976.27229,99999959.7716,51.7107428
116,0.912001230314,0.00505617819634,7648.13714837,11739.46569,1798.65251673,9999974.62623,99999957.9758,51.0401692818
117,0.909484487574,0.00562355925118,6594.40754127,12289.0569093,1854.34552531,9999977.29375,99999960.3904,50.6500338947
118,0.908925153873,0.00609973232094,6136.6014959,12813.8103162,1746.13402119,9999974.44293,99999957.4027,48.1417923416
119,0.910572541578,0.00605749314023,6839.93748983,13186.0593433,1792.60406563,9999970.19486,99999951.4451,47.2357561154
120,0.909876147889,0.00645822203266,7269.65600122,13903.0743554,1675.00517512,9999966.05946,99999949.2355,45.1557917257
121,0.913694786632,0.00541983824973,6910.7366287,15006.8858621,1824.35271759,9999965.11985,99999954.009,47.1434828031
122,0.909258039718,0.00608830900016,6661.50897283,14998.653825,1971.04691048,9999962.37388,99999945.0824,48.4656403328
123,0.910251805232,0.00530780614838,6913.96843337,15492.9073262,2053.24382654,9999958.5957,99999945.2325,50.5968242763
124,0.907331109964,0.00578063136461,7342.65462883,16381.4329589,2159.80410638,9999952.09745,99999939.588,51.6154578947
125,0.907761325304,0.00534102863937,7356.94952923,17037.7058114,2106.45416148,9999951.32019,99999947.2844,52.2484646899
126,0.908026873426,0.00516576286447,7984.47015684,17684.0109919,2079.86386378,9999946.22176,99999941.9448,51.6172054927
127,0.909957765329,0.00529226476893,7814.50811982,16662.9376275,2093.9797675,9999948.76236,99999938.4525,50.0406917254
128,0.910235318968,0.00502507150828,7392.77065639,16900.765839,2366.1214279,9999945.30125,99999936.5796,52.4184596174
129,0.914334843889,0.00391721505757,7676.42685729,18470.709532,2277.79215744,9999943.23137,99999937.0956,51.563744998
130,0.91266994987,0.00483875895086,7880.55922905,17777.6506497,2385.28094656,9999942.94184,99999940.5623,50.0009988641
131,0.907919516881,0.00571535239937,8471.11211405,18530.0902127,2695.91205464,9999948.39681,99999946.0295,52.0998867727
132,0.90629971631,0.00623138039365,8563.53042074,17967.0582199,2676.59228352,9999946.40334,99999933.9934,50.9126211779
133,0.904620281402,0.00645153876751,9466.43614702,18756.7160607,2784.45870572,9999944.79634,99999932.2117,51.8537294574
134,0.902189299435,0.00658189562552,9931.38825663,19766.9593441,2985.13193795,9999943.85822,99999931.9711,54.3031336555
135,0.907173717172,0.00540317711252,10454.8183719,19602.1234844,2981.79675638,9999940.34966,99999926.4275,54.8600185163
136,0.899344112015,0.00659690015287,10742.9594172,19852.6830346,3235.81577682,9999943.00058,99999929.8923,56.364158145
137,0.903551000947,0.00613490401905,10470.8598008,21175.5213828,3091.44713685,9999940.10018,99999932.612,56.4714604611
138,0.907811231045,0.0050977750841,10669.6981051,20384.6572242,2790.14178553,9999934.83322,99999927.0931,55.9575958184
139,0.909169683921,0.00470920505899,10539.183732,20681.766078,2552.29191209,9999938.4803,99999917.2602,54.6569847155
140,0.910683491342,0.00433106383082,10880.0631402,21718.4795457,2605.73007741,9999944.88589,99999918.3011,54.3108494704
141,0.910775395336,0.00434906655975,10977.0474914,21180.7611554,2650.8365501,9999944.61239,99999916.8891,55.3751562324
142,0.907052596898,0.00539257072065,10864.1998425,20457.6346041,2279.60698756,9999940.41031,99999919.272,51.2532769626
143,0.911967949343,0.00491718389836,10736.4924958,20418.1922713,2142.52668314,9999933.49214,99999919.9791,49.7231754771
144,0.908496145295,0.00550275429952,11093.1277554,19287.0189117,2224.25062107,9999936.04608,99999912.4699,49.86711839
145,0.90699272196,0.00552113979223,11036.3755396,18895.5103846,2358.45490119,9999935.92705,99999908.8639,50.6536410246
146,0.90611447806,0.00565124438348,11539.7184622,16904.077692,2168.9903549,9999934.0189,99999904.03,49.3494950676
147,0.909200115332,0.00528433101559,11654.3046043,14258.0496616,2019.08771965,9999930.54265,99999897.0621,49.7215115134
148,0.911685560392,0.00472750002079,11968.3118071,15760.030515,1834.10679275,9999929.38419,99999902.2394,48.9366038066
149,0.91005937342,0.00450902224217,12068.4833079,16922.2705947,1855.02777963,9999932.44619,99999906.4452,49.4233034583
150,0.908563276309,0.00507715355475,12588.0274312,18000.4077271,1785.20667182,9999929.83212,99999903.4267,48.3317055623
151,0.911326667169,0.00503107283243,12968.6858354,18564.161296,1666.73256699,9999932.77611,99999906.4621,47.2362082915
152,0.907552111711,0.00566419810944,13489.6422252,18429.981897,1819.20202235,9999934.47968,99999907.4186,49.5339977602
153,0.906260391033,0.00558642152504,14194.3060039,17736.7450517,1701.77787391,9999932.33103,99999901.332,49.5353941725
154,0.909630741684,0.0045568516156,13882.2165585,16952.4696317,1528.80681838,9999931.29779,99999897.4817,51.2774992489
155,0.911607954061,0.00392223689778,14512.1933947,19740.0182041,1469.18538667,9999933.04852,99999909.5283,51.8575287994
156,0.909432601507,0.0045772355614,14725.1428551,20566.5517666,1461.61688882,9999930.11807,99999909.5843,50.1398355641
157,0.911225125614,0.00433558032522,15524.0425041,20873.2085167,1581.75967211,9999930.75541,99999906.0931,51.3282994549
158,0.910856173684,0.00468488887813,15897.7691233,21168.7738656,1639.53556071,9999928.32114,99999909.4776,50.7819159716
159,0.906932859044,0.00568489428011,15961.9536104,19651.4246992,1815.20157697,9999927.53005,99999907.6523,50.3501297418
160,0.909910203402,0.00490653389491,16538.7588137,20993.4021096,1849.41778701,9999927.1956,99999908.0428,51.4049161419
161,0.911016286696,0.00399550590492,16718.0518872,21981.7642563,1992.96622674,9999924.2362,99999908.6898,55.2570672522
162,0.909615676152,0.00414381204314,15948.4686922,18814.6370035,1892.06465925,9999930.03387,99999901.2674,55.4631560808
163,0.907890676759,0.00456222145222,15690.218049,20636.8278486,1875.52561144,9999924.7727,99999900.731,54.4610208254
164,0.911057648564,0.00385436840798,15315.5548405,20532.1369454,1951.12164103,9999924.78869,99999901.5861,54.2604685356
165,0.90950336076,0.00397026998684,15634.3859857,19452.3243109,1969.64638541,9999918.43692,99999898.4007,55.4286863252
166,0.910961924646,0.00341354803294,16066.321328,19465.2972276,1759.1736274,9999924.48279,99999893.0367,55.9573240296
167,0.912692771283,0.00312523269532,16322.8798495,22093.2179621,1749.37355198,9999924.38074,99999887.9805,55.8619188208
168,0.911414326312,0.00313209468703,16857.0214768,24920.1609378,1700.10884409,9999910.98676,99999886.2774,56.0383557891
169,0.91130384025,0.00324563076699,17161.6231468,23576.3549124,1646.20343097,9999915.5885,99999879.546,55.933717321
170,0.909330699743,0.00366978444118,17124.0162406,22691.5865715,1522.51773977,9999906.5847,99999872.8447,55.7812440704
171,0.909143532576,0.00396262422209,17409.2202557,23503.2110437,1574.86765084,9999906.66887,99999868.1496,55.1243029163
172,0.908845134482,0.00434131093874,17240.1824118,24593.7295979,1701.95364636,9999903.69443,99999866.2675,54.5509030909
173,0.907846385456,0.0041785513785,17206.6375598,24963.806871,1678.02561412,9999899.75085,99999868.085,55.7506515159
174,0.90816379766,0.00431885745108,18311.4565213,25321.0823385,1675.28400258,9999899.01318,99999861.4421,54.377953716
175,0.906210698843,0.00404577243102,18441.8239616,25760.3131399,1543.40006721,9999898.88366,99999864.754,55.8083415272
176,0.906313804361,0.0043294019424,18208.7505695,25534.4892975,1631.60633229,9999888.65085,99999864.0263,55.6435659211
177,0.907094845119,0.00427848426454,18540.5908043,25230.7638389,1652.70284517,9999880.54482,99999855.5641,54.5079011256
178,0.9101109625,0.00412282317592,18281.0950325,28213.3002915,1611.55579021,9999885.7615,99999860.3848,52.4086011383
179,0.909398186523,0.00517840448797,17824.2416653,29567.6865003,1623.53797862,9999885.06181,99999866.1983,50.272092391
180,0.909453526517,0.00501108097525,16835.6495198,31701.3486101,1594.69799735,9999883.01624,99999874.9699,50.50184041
181,0.909525016232,0.00523030317299,16348.4579618,32492.1881493,1551.31181101,9999886.94245,99999885.2667,49.6311936971
182,0.910626909527,0.00483285246717,17212.9192224,32408.5353325,1477.90992981,9999885.0633,99999879.2901,50.1430069139
183,0.906993610595,0.00500356581801,17441.7138063,35738.6182652,1512.42477626,9999887.99017,99999886.316,51.9611676702
184,0.904093910655,0.0048412116003,17289.7733339,35307.8036596,1555.31287716,9999885.14943,99999884.0004,54.6271964757
185,0.908696974126,0.00426862352355,17994.1881137,37493.4475351,1512.22387322,9999874.71566,99999879.4798,54.0581274226
186,0.905293759311,0.00482393939171,18718.7404575,38558.4248858,1599.27341648,9999881.75454,99999879.8261,54.3117439617
187,0.906771888947,0.00406852935098,17525.8360177,40643.5661979,1733.31228938,9999875.32085,99999884.3759,56.6176818785
188,0.905090777475,0.00434623956256,17596.8773827,40220.3485423,1738.98891804,9999886.001,99999891.3918,54.8013725439
189,0.904945167629,0.00411621082013,18011.8525357,37184.5629805,1835.31620559,9999887.43,99999880.8805,55.2191383834
190,0.905608803363,0.00423722453737,17900.7629543,36184.8560727,1865.40510019,9999890.33422,99999879.8285,54.9966835529
191,0.906653289605,0.00419216100737,17941.0184516,41339.8373608,2036.19162756,9999886.94692,99999882.2729,56.1142420712
192,0.908208601582,0.00348600757026,18413.5231666,39262.4604214,2163.90858168,9999890.62242,99999881.8569,58.9988728158
193,0.906032387547,0.00378919441493,17859.6952507,40200.3889065,2409.75856497,9999889.56391,99999875.5419,62.0832274916
194,0.906662230833,0.00408744636731,17646.3489038,43416.4819789,2311.5603202,9999888.79768,99999886.3547,60.1854187746
195,0.909549174348,0.00354250134733,18673.3279862,43877.3845723,2381.40362488,9999890.39775,99999883.8474,59.9738956669
196,0.908774705673,0.0036540483643,18800.9851626,42679.627668,2147.0465186,9999900.87782,99999890.6715,58.7096057937
197,0.911866284906,0.0034878267233,18683.9963292,38373.2895644,2046.78862509,9999908.65438,99999891.5249,56.6524883844
198,0.912145922829,0.00346296139619,19143.683046,38568.2929572,2226.10501297,9999905.61776,99999875.6148,55.931515151
199,0.910421309904,0.00419033566018,18527.3361127,38720.1611866,2210.38413571,9999911.5717,99999877.2611,54.7289566077
200,0.912614302565,0.00398660963181,18292.2335792,39355.4444979,2086.71835794,9999912.82084,99999869.0384,53.9624264393
201,0.911628039967,0.00439370808442,18986.8409156,39608.7582689,1940.74238834,9999913.38191,99999871.9815,51.9272237143
202,0.89967657349,0.00675909835871,19534.0973956,43566.6512089,2109.6350542,9999915.07438,99999870.6677,52.891761162
203,0.902097411493,0.00672908322834,18826.1271593,44277.8253411,2208.53474966,9999913.52124,99999873.5606,51.8426291393
