gen,w_bar,w_var,k1_var,k2_var,f_var,mean_k1,mean_k2,mean_f
0,0.997817003636,2.29625930814e-05,1.53697756504,1.19541087975,0.922787489542,10000000.0525,100000000.01,9.9826609398
1,0.995507361755,4.47611942598e-05,2.67395514899,2.44129243585,2.26113481105,10000000.057,99999999.9881,10.0623747473
2,0.993089727959,9.58059007685e-05,4.30646372476,3.70047269828,3.90354914892,10000000.1339,99999999.7952,10.0972921663
3,0.991609253906,0.000118969582386,6.15329837489,5.15538851292,4.91955901881,9999999.96142,99999999.7474,10.0891037005
4,0.990104819738,0.000139054967258,7.29658655341,6.68701046677,6.46662873151,10000000.0262,99999999.7485,10.1868603527
5,0.988076245018,0.00040872753337,8.61334764722,7.50582141209,8.37425494937,10000000.0356,99999999.7082,10.3041787653
6,0.987057558032,0.000402568211569,8.22007635265,9.18041391588,9.40382661502,9999999.90505,99999999.7183,10.225173001
7,0.986028598552,0.000325706736769,9.59278247419,10.3086177418,10.8162536543,9999999.94685,99999999.8587,10.3115034237
8,0.985089925175,0.000685942977805,11.183514523,11.6667772974,11.1028719972,10000000.1253,99999999.934,10.264471183
9,0.985272860068,0.000329306080602,12.9627346371,12.3551587796,11.9270237332,10000000.1498,99999999.9297,10.2425419632
10,0.984718047905,0.000466501834898,14.7409014886,13.6263786342,11.5295366243,10000000.1462,100000000.102,10.2206147297
11,0.98322952197,0.000824001619791,14.934077108,15.2323658941,12.7045874422,10000000.3505,100000000.095,10.2797767378
12,0.984058844234,0.000215087076468,15.8101454261,18.7543999115,13.9178048407,10000000.3021,100000000.016,10.4056156888
13,0.983533940961,0.000354680761096,18.1117195943,17.7773013884,14.2665236403,10000000.3538,99999999.9761,10.3096836193
14,0.981364061364,0.000882583113533,19.5944728285,18.093997499,14.9867824439,10000000.648,100000000.003,10.299253334
15,0.983140362535,0.000471995257361,20.9681404072,19.1792798627,13.6791087565,10000000.6798,100000000.127,10.4027032136
16,0.983491888596,0.00039654606191,24.2737386304,21.4751434856,13.8869672131,10000000.3353,100000000.012,10.4330090556
17,0.982715680707,0.000506092356022,26.6043265972,21.1888758898,14.0573056749,10000000.4844,100000000.032,10.2775026794
18,0.981397951117,0.000547186456689,29.815008242,21.4718818405,15.2023990323,10000000.2269,100000000.036,10.1333229853
19,0.981059945799,0.000620949617832,29.0283544377,22.6223371661,15.2241601403,10000000.267,99999999.8572,10.2070024275
20,0.97931898378,0.0013525140815,29.2791971745,22.0375129603,15.6866844912,10000000.1633,99999999.8519,10.4700604779
21,0.978452880496,0.00141879949774,31.1951907826,23.1340285306,16.6914077283,10000000.0704,99999999.9975,10.4207223474
22,0.978003562102,0.00154959394017,33.1757418922,24.1664312661,16.7551787397,10000000.1041,99999999.7856,10.2696453461
23,0.977334694157,0.00134964039106,35.263213825,25.4514135548,18.222687821,10000000.2213,99999999.6605,10.2853590299
24,0.977370198079,0.00136344465476,39.533879512,25.9562587853,18.4178163323,10000000.1631,99999999.5863,10.4768167275
25,0.975491845406,0.00178204846747,42.2542109623,29.5297924896,19.7086582819,10000000.1151,99999999.4394,10.4737223728
26,0.978057015506,0.000983161989565,42.4670508282,30.6579460043,19.9349506999,10000000.5054,99999999.4159,10.6284181642
27,0.978276566571,0.000999276199398,44.3860616554,33.3456620039,19.3693037338,10000000.5175,99999999.354,10.6962422198
28,0.977057682815,0.0011155652673,47.9064729573,33.8351787585,21.5466481256,10000000.805,99999999.4585,10.8663921866
29,0.975742297648,0.00145151205033,47.1908116084,33.2623701402,23.1669560677,10000000.652,99999999.5241,11.0592284486
30,0.977552005924,0.000821851959105,46.0286037718,33.073800576,22.1664612232,10000000.4438,99999999.5104,11.1973963108
