gen,w_bar,w_var,k1_var,k2_var,f_var,mean_k1,mean_k2,mean_f
0,0.932703917524,0.0156433686029,14513.208723,18041.9036067,5486.53131395,10000002.1916,99999996.5148,32.175354625
1,0.909512166365,0.0172704468815,33372.755585,36535.9568988,11730.0443304,9999990.35012,99999992.2473,51.6016166836
2,0.893728493738,0.0184071886634,47599.0393245,54694.0978382,15853.4465931,9999989.18271,100000001.241,62.9998012506
3,0.873655133813,0.0187348262102,65787.2652266,69272.334159,18612.3059148,9999974.15213,100000019.175,76.1750886542
4,0.856732507975,0.017866056217,78477.900244,75530.1437655,27474.911053,9999971.43732,100000019.947,102.283405478
5,0.843249404315,0.0157549459902,88664.5490907,85482.4076231,36159.7525749,9999977.16909,100000024.843,134.088468224
6,0.836724879217,0.014925795198,100204.168413,95646.8774684,35402.727337,9999960.43808,100000015.677,141.937953253
7,0.835624557571,0.0132486603101,114421.649821,111997.562112,36147.9562256,9999950.11324,100000025.902,153.985230085
8,0.829994495533,0.0128222600351,116097.708865,118989.563464,38895.498422,9999942.4749,100000042.232,163.162371952
9,0.821205731273,0.0118635950584,128994.35086,129607.063075,42942.6455145,9999937.70752,100000027.175,176.667284659
10,0.823862345978,0.0105002100836,146895.450561,136015.886197,51987.9424655,9999933.25986,100000007.718,202.764913653
11,0.826153192251,0.0103751765602,160460.401717,165563.311469,58040.0186895,9999940.3566,100000018.587,215.154084231
12,0.826687069963,0.0102199202744,172181.546424,178572.486502,57291.2545121,9999941.92047,100000029.403,214.286874765
13,0.822246,0.0106008913841,196712.143722,199648.141339,62414.3205229,9999940.38561,100000040.063,219.566710717
14,0.827181552627,0.00920620974168,214095.497964,217584.242341,63102.5414168,9999925.16761,100000018.232,239.7593255
15,0.827348402468,0.00851852162279,219205.37284,237075.988179,63822.6143325,9999938.18516,99999989.2735,250.55699094
16,0.827077456545,0.00900340212441,232688.671231,249104.906604,63377.651687,9999926.17764,100000009.512,243.198800231
17,0.827809192384,0.00841569410986,243027.994565,247627.444833,65477.7832971,9999940.85767,100000017.155,248.995449008
18,0.828307355462,0.00773065718355,248273.113159,255201.099066,60923.7954138,9999936.49224,99999976.8741,248.933421042
19,0.827118537102,0.00716829852934,248616.07665,265764.694186,60281.3124034,9999937.57754,99999951.3933,250.520217709
20,0.826427727578,0.00720113002429,248748.833079,298130.970613,58717.22515,9999959.73276,99999945.8427,250.454456387
21,0.828189867349,0.00637096207829,260556.891368,326661.187364,62816.5809012,9999969.98418,99999938.8345,259.934038056
22,0.823682911539,0.00643276706526,250655.096251,322105.446893,60952.5738709,9999966.29742,99999944.4787,263.530322188
23,0.826153976889,0.00649649068966,242848.285721,306701.908992,68560.9599729,9999945.05383,99999951.5082,269.08965116
24,0.827276130781,0.00602420616524,263627.604397,319868.977905,74256.4759681,9999930.87391,99999971.6714,287.10759032
25,0.82806062218,0.00604954168218,279354.430022,323849.262442,70648.9679183,9999909.44438,99999957.1992,287.44146081
26,0.825234241942,0.00582985015245,306511.02241,338080.314017,67349.4505112,9999899.67112,99999981.7585,288.153109989
27,0.818657430219,0.00593590624891,300099.387796,339257.357367,69404.7240507,9999873.43182,99999984.6168,297.239361783
28,0.824580367069,0.00627463670534,299455.94616,360932.237072,69070.9322228,9999893.35499,100000015.239,286.144884485
29,0.828005088802,0.00608895401478,303875.363154,368950.9045,68985.3481954,9999884.22582,99999973.0311,280.625347753
30,0.827338715728,0.00666304254581,314988.537972,371009.162837,76233.7332522,9999878.72896,99999980.5641,283.107751193
31,0.821438024061,0.00660721490072,321243.653517,373710.308851,83315.8822248,9999888.71082,99999975.5314,297.506846974
32,0.820216246308,0.00654847091532,317010.002029,391826.590746,89503.1949116,9999880.26688,99999977.5018,306.786685774
33,0.819183590385,0.00602342162559,313804.914095,387559.739316,98020.4090578,9999857.85995,99999975.5505,329.672072255
34,0.817304046105,0.00560683158031,317559.250947,392787.887477,96359.4364238,9999813.03141,99999993.1619,343.28049294
35,0.812455672607,0.00534545733626,334366.801478,399055.240901,88669.5348878,9999803.82654,99999975.2812,350.117966821
36,0.817768269053,0.00470339241224,365786.014939,381051.640243,95204.3921477,9999800.89607,99999990.8397,375.78393144
37,0.812468176559,0.00459066055481,424655.354629,405439.551446,102935.748657,9999816.35699,99999975.6565,394.799563513
38,0.810416554563,0.00437460930314,463636.902993,442921.263288,107793.532687,9999810.98396,99999966.8699,400.915976156
39,0.810957459147,0.00400050161794,468645.015214,494445.105424,113127.073178,9999816.45173,99999957.3813,408.908102755
40,0.809184731619,0.00411636858306,449183.491635,519161.234893,107464.493949,9999834.3462,99999958.2902,399.988887832
41,0.810573712085,0.00427737411478,446902.082689,544921.983009,125868.225516,9999844.03021,99999997.6385,414.701662476
42,0.812612558201,0.00503976329236,442428.72957,574421.482064,125721.087354,9999824.48659,100000030.049,387.021595667
43,0.809307745565,0.0057097621671,450740.550346,562726.102615,131839.061707,9999842.73837,100000050.367,392.927536854
44,0.807068019005,0.00522069754713,455527.608133,558064.719545,134735.475809,9999820.36537,100000052.528,410.505331603
45,0.809294900516,0.00489979423077,494311.134405,599304.564477,143789.308148,9999817.06984,100000061.692,421.083202776
46,0.811811195795,0.00497282363904,480131.804784,620856.079804,150678.726336,9999777.52216,100000029.238,409.151780299
47,0.808892546033,0.0056655234805,541621.689632,656989.51835,133644.23273,9999756.68451,99999999.3613,386.92726292
48,0.810541982268,0.00575754926441,566671.648293,644810.141793,146066.185834,9999724.28668,100000032.393,386.926607123
49,0.809421002243,0.005754354513,574614.230512,645793.021717,145665.583983,9999723.36702,100000006.354,378.640193782
50,0.813203600031,0.00508432160435,545383.449272,626906.409831,126626.436793,9999682.52981,99999989.3075,377.288397759
51,0.808533137491,0.00537933915033,621430.302945,658251.719165,127799.401978,9999656.0522,99999989.4968,383.329217056
52,0.809734824249,0.00489882164567,643541.358147,679244.054834,125689.098002,9999640.88744,99999987.4072,400.796706324
53,0.806245861229,0.00472843007716,666386.707917,696071.843288,120332.995873,9999647.43285,99999983.4095,406.305449573
54,0.811029962963,0.0050106164899,676374.659312,663771.131801,128822.639151,9999635.66695,99999998.2118,406.415257443
55,0.809491275511,0.00561742886861,652160.233129,682407.047231,138712.849854,9999649.90296,100000037.562,391.958773065
56,0.809714332712,0.00566845875286,684911.707559,673569.611276,131860.526634,9999670.49034,100000046.419,394.125440287
57,0.806180752101,0.0060894914862,683335.681583,693103.56427,133104.075411,9999641.2436,100000033.983,398.204048991
58,0.805338084466,0.00589956262858,750022.877894,670715.021808,135934.009319,9999613.68644,100000018.662,402.929668084
59,0.812545848508,0.00612229622627,745770.672437,716883.164647,149262.678399,9999587.84253,100000055.493,403.679946638
60,0.815958080824,0.00607825716089,752740.928913,737721.240885,144309.765181,9999559.77581,100000045.242,382.859660894
61,0.812827072216,0.00590680308519,792434.445325,821316.094004,136755.128128,9999582.79043,100000082.658,373.676987072
62,0.811208553739,0.00617852655937,809123.506759,780145.659412,125812.070313,9999612.27502,100000049.462,360.916133546
63,0.812144552604,0.00620231717405,826511.562591,816122.764972,129888.106866,9999639.02159,100000083.864,369.861507985
64,0.811652860466,0.00604666538288,779290.077252,809297.779485,124125.124193,9999621.21138,100000084.704,368.155266714
65,0.806653109302,0.0051371741138,776370.616523,746670.279095,125332.393822,9999603.14174,100000062.679,394.510470645
66,0.807263664403,0.0047727481813,722273.142029,724519.902234,111877.692779,9999590.62817,100000066.979,397.444711925
67,0.805925883301,0.00445366804105,759671.762547,755051.790712,113635.488488,9999563.82813,100000093.226,405.56835898
68,0.806722224245,0.00442161831086,765565.263716,744796.893428,118168.421517,9999533.29543,100000079.226,414.868627804
69,0.797822340449,0.00479916407861,805026.148192,751710.230807,132757.58022,9999567.94923,100000054.032,427.423486892
