gen,k1,k2,f,w,paramsMuted
6149,9999985.54427,100000000.0,10,1.0,k1
6798,9999985.54427,99999994.8383,10,1.0,k2
9917,9999983.45062,100000003.863,14.6120172335,0.99979984945,f k1 k2
10394,9999985.86811,99999994.6836,14.6120172335,0.99979984928,k1 k2
17976,9999985.86811,100000004.44,14.6120172335,0.999799849191,k2
18708,9999985.86811,100000004.44,15.6109987601,0.999723236626,f
20132,9999985.86811,100000002.377,17.539707451,0.99955765401,f k2
26681,9999962.77671,100000040.758,17.539707451,0.999557657105,k1 k2
31176,9999962.77671,100000040.758,25.7325097242,0.998735058822,f
32586,9999948.52227,100000043.238,19.5582308838,0.999367294281,f k1 k2
33014,9999948.52227,100000031.638,19.5582308838,0.999367294471,k2
33931,9999948.52227,100000049.087,5.32560845957,0.999479175206,f k2
39004,9999931.52538,100000053.958,5.32560845957,0.99947917257,k1 k2
42280,9999934.99621,100000052.501,5.32560845957,0.999479173102,k1 k2
43545,9999934.99621,100000052.501,6.52899028559,0.999758021062,f
48963,9999921.07227,100000058.157,6.52899028559,0.999758019581,k1 k2
51241,9999898.22577,100000046.294,16.435774684,0.999654897506,f k1 k2
54097,9999898.22577,100000056.378,16.435774684,0.999654897385,k2
60076,9999898.22577,100000056.378,8.80234434205,0.999977916844,f
67506,9999898.22577,100000023.167,8.80234434205,0.999977916746,k2
70831,9999898.22577,100000023.167,5.15002400624,0.999423723825,f
71554,9999898.22577,100000006.249,12.7613838038,0.999917754877,f k2
74014,9999898.22577,100000006.249,9.47737746272,0.9999960726,f
74058,9999884.08102,99999992.9771,8.69832620634,0.999973627447,f k1 k2
74815,9999884.08102,100000030.32,8.69832620634,0.999973627567,k2
83710,9999866.15862,100000008.378,8.69832620634,0.999973626832,k1 k2
85880,9999866.15862,100000008.378,13.8802944904,0.999850733112,f
97096,9999893.72779,100000015.392,13.8802944904,0.999850730565,k1 k2
107239,9999898.35459,100000022.073,8.30741394133,0.99995349932,f k1 k2
110792,9999897.77274,100000022.073,6.91301959746,0.999817844987,f k1
117234,9999887.60465,100000022.073,11.1955301744,0.999982471627,f k1
118391,9999926.01246,100000026.007,11.1955301744,0.999982470438,k1 k2
121008,9999950.4452,100000028.936,7.09452437393,0.999842255894,f k1 k2
131101,9999950.4452,99999984.3969,6.17303779231,0.999691403043,f k2
131751,9999970.47771,100000031.653,6.17303779231,0.999691406033,k1 k2
133167,9999957.60864,100000031.653,6.17303779231,0.999691404438,k1
133357,9999957.60864,100000031.653,17.5170787475,0.99955970791,f
141162,9999962.00846,100000019.461,17.5170787475,0.999559707388,k1 k2
142001,9999948.45626,100000027.84,17.5170787475,0.999559709393,k1 k2
143902,9999920.56311,100000036.332,17.5170787475,0.999559713639,k1 k2
144053,9999903.46582,100000033.149,7.3439710428,0.999872125598,f k1 k2
152931,9999924.32397,100000053.179,11.5724297813,0.999970634976,f k1 k2
161523,9999924.32397,100000073.035,11.5724297813,0.999970634908,k2
162210,9999925.73714,100000073.035,11.5724297813,0.999970634851,k1
162414,9999936.8869,100000073.035,11.5724297813,0.999970634408,k1
167059,9999936.8869,100000078.881,11.5724297813,0.999970634388,k2
181975,9999943.90206,100000089.702,11.5724297813,0.999970634071,k1 k2
