gen,k1,k2,f,w,paramsMuted
192964,10000167.1125,100000142.42,93.5880769445,0.99929057486,k2
195429,10000167.1125,100000153.186,93.5880769445,0.9992905748,k2
199180,10000167.1125,100000130.896,99.3880277621,0.999252780701,f k2
201053,10000140.7691,100000130.896,137.377457341,0.999034907794,f k1
205562,10000117.4314,100000114.237,135.335099393,0.9990455093,f k1 k2
205890,10000117.4314,100000110.709,147.522724359,0.998983825934,f k2
206225,10000117.4314,100000130.258,183.509961149,0.998820723533,f k2
206674,10000117.4314,100000130.258,165.168738867,0.998900621729,f
207448,10000127.9694,100000157.676,178.185178043,0.998843288552,f k1 k2
209155,10000174.0335,100000139.183,194.478808089,0.998775728536,f k1 k2
210843,10000209.3609,100000139.183,212.355448043,0.998706337284,f k1
212262,10000200.2052,100000114.745,225.702044236,0.998657387223,f k1 k2
214114,10000221.7368,100000100.912,207.492724931,0.998724758007,f k1 k2
215080,10000248.4819,100000143.418,258.321133386,0.99854657061,f k1 k2
215318,10000241.4296,100000143.418,281.189590534,0.998475298373,f k1
216726,10000235.4313,100000158.899,276.77439116,0.998488690095,f k1 k2
216832,10000235.4313,100000158.899,321.95899331,0.998359031334,f
217984,10000176.3496,100000158.899,328.957636049,0.998340295073,f k1
218102,10000164.2272,100000160.349,324.060058253,0.998353376456,f k1 k2
219680,10000152.4578,100000160.349,324.060058253,0.998353377473,k1
220086,10000111.7208,100000150.911,314.997265022,0.998378017173,f k1 k2
220290,10000155.6084,100000143.948,314.333122238,0.998379841448,f k1 k2
224854,10000133.088,100000143.948,314.333122238,0.998379843383,k1
225646,10000136.6334,100000143.948,314.333122238,0.998379843078,k1
225870,10000134.9541,100000165.026,306.741095017,0.998400965508,f k1 k2
226811,10000111.8689,100000182.885,306.741095017,0.998400967341,k1 k2
230756,10000111.8689,100000182.885,295.735141924,0.998432352719,f
230964,10000132.6349,100000192.553,292.054137467,0.998443058343,f k1 k2
231748,10000117.2882,100000203.533,310.039494542,0.998391738401,f k1 k2
232248,10000094.7351,100000206.93,315.706789213,0.998376068748,f k1 k2
232635,10000083.8671,100000221.468,321.309626137,0.998360799631,f k1 k2
235808,10000073.5334,100000221.468,321.309626137,0.998360800522,k1
237480,10000073.9098,100000217.319,321.309626137,0.998360800523,k1 k2
241407,10000110.7785,100000240.483,318.848155981,0.998367478706,f k1 k2
241561,10000107.6938,100000221.229,352.860307906,0.998278663289,f k1 k2
246481,10000103.1816,100000212.458,377.118647552,0.998219536681,f k1 k2
248610,10000124.8476,100000190.999,372.080003143,0.998231551031,f k1 k2
248867,10000124.8476,100000199.926,372.080003143,0.998231550957,k2
250000,10000101.393,100000200.435,379.151719457,0.998214726276,f k1 k2
251219,10000096.0166,100000188.205,338.34579707,0.998315667436,f k1 k2
253628,10000083.4183,100000188.205,319.642438182,0.99836532086,f k1
254318,10000083.4183,100000184.311,314.637996498,0.998379007801,f k2
258750,10000083.4183,100000184.311,311.022589614,0.998389006351,f
260238,10000087.4858,100000184.311,307.298317678,0.998399404779,f k1
261930,10000054.9483,100000164.389,346.125502499,0.998295678939,f k1 k2
265910,10000069.201,100000172.859,339.987014407,0.998311421086,f k1 k2
266152,10000061.0833,100000187.762,355.59938514,0.998271825912,f k1 k2
267763,10000061.0833,100000187.762,374.44383119,0.99822590275,f
270916,10000061.0833,100000138.693,374.44383119,0.998225903156,k2
271581,10000061.0833,100000157.619,351.497561418,0.998282088147,f k2
271983,10000075.47,100000181.452,359.955464421,0.998261033119,f k1 k2
272723,10000078.4805,100000202.842,360.852795822,0.99825882309,f k1 k2
274205,10000059.9317,100000210.104,372.567337929,0.998230388547,f k1 k2
274969,10000059.9317,100000210.104,354.0517102,0.998275686285,f
278373,10000026.5974,100000200.155,337.97337605,0.998316639869,f k1 k2
