gen,k1,k2,f,w,paramsMuted
954,10000000.0,100000000.0,0,0.999934999794,f
1297,9999985.31661,100000020.274,20.8344485185,0.999999240732,f k1 k2
3781,10000029.5788,100000034.062,20.8344485185,0.999999240723,k1 k2
5121,10000074.436,100000064.61,19.7964210666,0.999999343774,f k1 k2
6235,10000059.7706,100000064.61,63.7331623456,0.9999951083,f k1
7326,10000055.0448,100000032.396,63.7331623456,0.999995108304,k1 k2
7973,10000052.7353,100000037.217,110.321347334,0.999991848294,f k1 k2
8346,10000040.0408,100000064.042,142.711873428,0.9999900725,f k1 k2
10551,10000040.6502,100000053.947,171.163854627,0.999988731973,f k1 k2
19463,10000040.6502,100000043.346,171.163854627,0.999988731973,k2
19493,10000055.837,100000043.346,171.163854627,0.999988731962,k1
19543,10000046.6457,100000047.124,198.563876226,0.999987587075,f k1 k2
21593,10000046.6457,100000064.311,198.563876226,0.999987587073,k2
22847,10000046.6457,100000064.311,213.296158866,0.999987019907,f
24471,10000057.5226,100000079.818,203.564300402,0.99998739108,f k1 k2
27093,10000057.5226,100000079.818,204.506671809,0.999987354554,f
27468,10000072.1978,100000086.758,204.506671809,0.999987354542,k1 k2
31350,10000072.1978,100000057.957,217.324649459,0.999986870012,f k2
31661,10000072.1978,100000057.957,224.305482408,0.999986615275,f
33559,10000112.0133,100000079.678,244.955565744,0.99998589599,f k1 k2
33806,10000154.9269,100000088.701,244.955565744,0.999985895954,k1 k2
37801,10000184.9415,100000082.699,231.549393263,0.99998635723,f k1 k2
40525,10000199.389,100000123.368,219.007265504,0.999986807937,f k1 k2
42566,10000192.8866,100000110.665,169.602517832,0.999988801066,f k1 k2
42731,10000216.5251,100000103.335,187.301483794,0.999988042352,f k1 k2
43845,10000206.5826,100000103.335,191.322068984,0.999987877482,f k1
53967,10000206.5826,100000112.759,191.322068984,0.999987877481,k2
57648,10000206.5826,100000112.759,151.340360172,0.999989647078,f
57831,10000206.5826,100000085.094,151.340360172,0.99998964708,k2
58516,10000203.409,100000082.243,149.537106148,0.999989734521,f k1 k2
58570,10000224.4987,100000082.243,149.091057667,0.999989756249,f k1
58796,10000209.4341,100000096.515,173.033578907,0.999988649567,f k1 k2
59479,10000202.6257,100000114.546,195.695846711,0.999987701043,f k1 k2
62643,10000206.8284,100000114.546,195.695846711,0.99998770104,k1
62909,10000193.8184,100000114.546,175.556746696,0.999988539573,f k1
64719,10000209.2143,100000104.272,156.55878603,0.999989398151,f k1 k2
64844,10000209.2143,100000104.272,188.065812744,0.999988010812,f
67095,10000209.2143,100000093.403,188.065812744,0.999988010812,k2
70350,10000209.2143,100000093.403,164.534694369,0.999989028954,f
71065,10000215.9143,100000093.403,177.876685277,0.999988439436,f k1
72326,10000235.3721,100000094.096,182.153922214,0.999988257327,f k1 k2
76972,10000257.833,100000101.096,180.071295048,0.999988345574,f k1 k2
77015,10000250.6105,100000091.687,180.071295048,0.99998834558,k1 k2
79734,10000253.7773,100000086.086,173.406097973,0.999988633219,f k1 k2
80519,10000255.4424,100000051.825,206.425898914,0.999987280406,f k1 k2
84856,10000264.2736,100000080.304,199.536808126,0.99998754848,f k1 k2
86438,10000200.001,100000069.466,199.536808126,0.999987548531,k1 k2
87141,10000200.001,100000104.478,199.536808126,0.999987548529,k2
89126,10000156.1753,100000132.318,222.757424349,0.999986671161,f k1 k2
89301,10000129.312,100000143.265,218.390198968,0.999986830675,f k1 k2
90410,10000129.312,100000143.265,223.182012883,0.999986655804,f
90615,10000118.7809,100000133.112,235.807649747,0.999986208551,f k1 k2
92095,10000132.2237,100000133.112,209.481354776,0.999987163767,f k1
92239,10000127.8266,100000112.802,179.617742514,0.999988364994,f k1 k2
98327,10000133.8373,100000100.01,179.617742514,0.99998836499,k1 k2
99414,10000133.8373,100000100.01,188.790808007,0.999987981036,f
100289,10000157.795,100000100.01,188.790808007,0.999987981017,k1
100645,10000161.4322,100000120.523,161.711335225,0.999989158172,f k1 k2
101510,10000165.4312,100000136.337,154.493591431,0.999989495974,f k1 k2
102573,10000178.0975,100000136.337,174.082719228,0.999988603705,f k1
103971,10000175.8748,100000122.706,177.373963325,0.999988461079,f k1 k2
105081,10000175.8748,100000117.387,178.280301816,0.999988422144,f k2
