gen,k1,k2,f,w,paramsMuted
467570,10000010.5139,99999819.2175,9.55370104832,0.999971583942,k1
475652,10000010.5139,99999826.2585,9.55370104832,0.999971584017,k2
481107,10000008.4248,99999845.0133,9.55370104832,0.999971583961,k1 k2
482175,10000008.4248,99999857.8261,9.55370104832,0.999971584097,k2
483797,10000031.3014,99999859.3446,9.55370104832,0.999971586915,k1 k2
489480,10000031.3014,99999872.7388,9.55370104832,0.999971587057,k2
495966,10000031.3014,99999886.7958,9.55370104832,0.999971587207,k2
498338,10000031.3014,99999916.8856,9.55370104832,0.999971587526,k2
499689,9999994.90166,99999894.6951,9.55370104832,0.999971582832,k1 k2
501005,9999988.15729,99999894.6951,9.55370104832,0.999971582005,k1
506241,9999965.32429,99999894.6951,9.55370104832,0.999971579208,k1
511085,9999965.32429,99999903.7427,9.55370104832,0.999971579304,k2
513020,9999957.30795,99999903.7427,9.55370104832,0.999971578322,k1
518367,9999957.30795,99999895.1705,9.55370104832,0.999971578231,k2
519521,9999912.04175,99999895.1705,9.55370104832,0.999971572685,k1
525783,9999912.04175,99999908.4903,9.55370104832,0.999971572826,k2
532076,9999876.50746,99999908.4903,9.55370104832,0.999971568472,k1
533616,9999855.66524,99999908.4903,9.55370104832,0.999971565918,k1
536365,9999855.66524,99999900.1146,9.55370104832,0.999971565829,k2
538291,9999844.56329,99999854.4613,9.55370104832,0.999971563983,k1 k2
542760,9999844.56329,99999850.3329,9.55370104832,0.999971563939,k2
543182,9999866.38615,99999850.3329,9.55370104832,0.999971566614,k1
546843,9999866.38615,99999828.623,9.55370104832,0.999971566383,k2
547343,9999866.38615,99999818.9194,9.55370104832,0.99997156628,k2
553339,9999866.38615,99999806.6726,9.55370104832,0.99997156615,k2
554458,9999817.59123,99999819.4834,9.55370104832,0.999971560306,k1 k2
555239,9999817.59123,99999808.6067,9.55370104832,0.99997156019,k2
555477,9999790.7306,99999790.8932,9.55370104832,0.99997155671,k1 k2
556128,9999797.05735,99999790.8932,9.55370104832,0.999971557486,k1
558525,9999797.05735,99999790.8932,10.1189459099,0.999998095067,f
561973,9999835.16201,99999790.8932,10.3237313119,0.999986119972,f k1
562325,9999835.16201,99999817.3385,10.3237313119,0.999986119775,k2
567605,9999835.16201,99999852.7952,10.3237313119,0.99998611951,k2
575857,9999835.16201,99999844.1639,10.3237313119,0.999986119575,k2
592121,9999819.90311,99999844.1639,10.3237313119,0.999986120887,k1
592268,9999777.80999,99999825.2291,10.3237313119,0.999986124647,k1 k2
598396,9999777.80999,99999854.5243,10.3237313119,0.999986124429,k2
599443,9999777.80999,99999835.3715,10.3237313119,0.999986124572,k2
609217,9999789.03361,99999835.3715,10.3237313119,0.999986123607,k1
610954,9999783.6842,99999835.3715,10.3237313119,0.999986124066,k1
618000,9999783.6842,99999820.8814,10.3237313119,0.999986124175,k2
618075,9999773.86133,99999809.142,10.3237313119,0.999986125107,k1 k2
619347,9999751.86557,99999809.142,10.3237313119,0.999986126998,k1
625003,9999768.6171,99999829.1532,10.3237313119,0.999986125408,k1 k2
634305,9999777.27023,99999835.4885,10.8102841854,0.999916751422,f k1 k2
637067,9999777.27023,99999847.8152,10.8102841854,0.999916751196,k2
638999,9999787.96008,99999847.8152,10.8102841854,0.99991674894,k1
639952,9999775.06054,99999847.8152,10.8102841854,0.999916751663,k1
640055,9999775.06054,99999832.2107,10.8102841854,0.999916751949,k2
653263,9999809.26752,99999832.2107,10.8102841854,0.999916744728,k1
655695,9999819.96409,99999818.8324,10.8102841854,0.999916742715,k1 k2
674732,9999819.96409,99999789.7833,10.8102841854,0.999916743247,k2
676479,9999819.96409,99999805.6558,10.8102841854,0.999916742956,k2
683398,9999879.43645,99999805.6558,10.8102841854,0.999916730402,k1
687509,9999898.15268,99999805.6558,10.8102841854,0.999916726451,k1
689849,9999927.63157,99999805.6558,10.8102841854,0.999916720227,k1
700579,9999893.12355,99999805.6558,10.8102841854,0.999916727512,k1
708624,9999856.8871,99999804.372,10.8102841854,0.999916735186,k1 k2
711764,9999856.8871,99999829.9496,10.8102841854,0.999916734717,k2
727240,9999858.86345,99999824.2421,10.8102841854,0.999916734405,k1 k2
736975,9999858.86345,99999828.7315,10.8102841854,0.999916734322,k2
738983,9999855.85814,99999812.1222,10.8102841854,0.999916735261,k1 k2
742770,9999862.80373,99999844.131,10.8102841854,0.999916733208,k1 k2
750270,9999862.80373,99999849.9238,10.8102841854,0.999916733102,k2
754346,9999862.80373,99999844.37,10.8102841854,0.999916733204,k2
766635,9999881.06833,99999845.7479,10.8102841854,0.999916729323,k1 k2
769145,9999882.56597,99999852.1162,10.8102841854,0.99991672889,k1 k2
769179,9999897.77214,99999883.3316,10.8102841854,0.999916725108,k1 k2
776049,9999897.88447,99999883.3316,10.8102841854,0.999916725085,k1
782878,9999896.54528,99999883.3316,10.8102841854,0.999916725367,k1
785903,9999879.99093,99999918.6067,10.8102841854,0.999916728216,k1 k2
788048,9999879.99093,99999872.8326,10.8102841854,0.999916729054,k2
792707,9999913.74882,99999874.6626,10.8102841854,0.999916721894,k1 k2
796405,9999926.533,99999874.6626,10.8102841854,0.999916719195,k1
801062,9999926.533,99999874.5191,10.8102841854,0.999916719198,k2
804329,9999966.20634,99999905.2546,10.8102841854,0.999916710259,k1 k2
822399,10000006.3167,99999855.734,10.8102841854,0.999916702697,k1 k2
825926,10000035.985,99999855.734,10.8102841854,0.999916696433,k1
827359,10000045.2057,99999854.5883,10.8102841854,0.999916694507,k1 k2
827516,10000082.894,99999854.5883,10.8102841854,0.999916686549,k1
829476,10000104.0482,99999854.5883,10.8102841854,0.999916682082,k1
