gen,k1,k2,f,w,paramsMuted
5132,9999956.27828,100000027.972,7.74232328004,0.999911848343,f k1 k2
8800,9999952.93549,100000005.423,12.2994279139,0.999940846013,f k1 k2
9045,9999931.25084,100000005.423,12.2994279139,0.999940847241,k1
9199,9999931.25084,99999983.4378,8.39984717377,0.999958856821,f k2
11444,9999973.0979,99999983.4378,8.39984717377,0.999958858757,k1
13412,9999973.0979,99999985.5768,8.39984717377,0.999958858766,k2
14080,9999971.07388,99999985.5768,8.39984717377,0.999958858672,k1
17392,9999971.07388,99999985.5768,13.1520072846,0.999896010325,f
29644,9999971.07388,100000001.705,13.1520072846,0.99989601022,k2
32741,9999971.07388,99999992.5329,13.1520072846,0.99989601028,k2
46909,9999971.07388,99999997.0657,13.1520072846,0.99989601025,k2
61828,9999971.07388,99999999.235,13.003763628,0.999904485487,f k2
62627,9999971.07388,100000005.908,13.003763628,0.999904485446,k2
64910,9999960.17817,100000005.908,13.003763628,0.999904486231,k1
69038,9999960.17817,100000005.908,15.459513763,0.999735325629,f
70865,9999951.18692,100000005.908,15.459513763,0.999735326715,k1
71388,9999951.63114,100000050.837,15.459513763,0.999735326189,k1 k2
72556,9999951.63114,100000039.838,7.3197503613,0.999869406149,f k2
76368,9999951.63114,100000076.48,7.3197503613,0.999869406408,k2
78610,9999945.57935,100000076.48,7.3197503613,0.999869405914,k1
80705,9999945.57935,100000076.766,7.3197503613,0.999869405916,k2
83019,9999945.57935,100000037.655,13.1883315098,0.999893894717,f k2
86783,9999953.78942,100000037.655,13.1883315098,0.999893894093,k1
91440,9999976.33834,100000037.655,8.00452345245,0.999933164322,f k1
91563,9999967.01962,100000069.305,17.7130230748,0.99954188463,f k1 k2
93159,9999967.01962,100000074.288,17.7130230748,0.999541884561,k2
95030,9999975.99655,100000074.288,16.5695980271,0.999643423947,f k1
96440,9999966.71894,100000070.75,16.5695980271,0.999643425294,k1 k2
99091,9999941.46303,100000070.75,16.5695980271,0.999643428843,k1
99324,9999941.46303,100000070.75,11.6386510034,0.999968285715,f
100505,9999925.36304,100000070.75,11.6386510034,0.999968286381,k1
103589,9999939.58373,100000070.75,18.1696562973,0.999499763089,f k1
107682,9999939.58373,100000083.097,13.7516124902,0.999859142584,f k2
113279,9999908.8331,100000108.991,10.9214219985,0.999989335474,f k1 k2
113824,9999905.13403,100000110.008,10.9214219985,0.99998933556,k1 k2
119292,9999880.96128,100000110.008,10.9214219985,0.999989336138,k1
130838,9999884.12945,100000112.085,10.9214219985,0.999989336058,k1 k2
137355,9999884.12945,100000104.291,10.9214219985,0.999989336074,k2
139149,9999860.38367,100000104.291,10.9214219985,0.999989336642,k1
145232,9999838.49515,100000094.052,4.63146957035,0.999230997656,f k1 k2
147244,9999838.49515,100000088.997,4.63146957035,0.999230997572,k2
150997,9999865.95872,100000116.36,12.760225255,0.999917817972,f k1 k2
154244,9999851.9968,100000099.037,12.760225255,0.999917819006,k1 k2
161178,9999881.40523,100000091.476,12.760225255,0.999917817084,k1 k2
163904,9999904.39221,100000076.946,12.760225255,0.999917815632,k1 k2
181629,9999908.24193,100000070.776,14.526252938,0.999806068574,f k1 k2
