gen,k1,k2,f,w,paramsMuted
3358,9999970.81448,100000000.0,10,1.0,k1
8413,9999970.49559,100000000.0,10,1.0,k1
15945,9999970.49559,99999992.9616,12.6067324366,0.99992581165,f k2
21433,9999970.49559,99999972.7932,12.6067324366,0.999925811762,k2
30768,9999954.40696,99999972.7932,12.6067324366,0.999925812783,k1
30833,9999950.22535,99999972.7932,12.6067324366,0.999925813048,k1
40151,9999950.22535,99999958.383,12.6067324366,0.999925813128,k2
41097,9999954.27274,99999958.383,12.6067324366,0.999925812871,k1
41633,9999983.87034,99999959.3169,13.5999705215,0.9998688378,f k1 k2
57522,9999977.43384,99999981.4527,16.1806842438,0.999676461627,f k1 k2
57658,9999941.6696,99999961.1429,14.9339951439,0.999775990465,f k1 k2
60874,9999910.50586,99999962.4818,14.6539543229,0.999796797368,f k1 k2
61981,9999901.33022,99999967.9435,14.2251337206,0.9998273704,f k1 k2
62876,9999900.49496,99999967.9435,14.2251337206,0.999827370481,k1
64722,9999908.82638,100000000.145,14.2251337206,0.999827369398,k1 k2
67738,9999919.35712,100000014.237,14.2251337206,0.999827368255,k1 k2
75406,9999904.16578,100000021.575,20.5484188053,0.999269642372,f k1 k2
76018,9999870.20298,100000045.003,8.29237496689,0.999952590097,f k1 k2
76318,9999877.55133,100000031.968,8.29237496689,0.999952590406,k1 k2
80686,9999847.80979,100000031.968,8.29237496689,0.99995258893,k1
84715,9999847.80979,100000031.968,15.6953872886,0.999716454191,f
84800,9999827.90379,100000043.572,15.6953872886,0.999716456555,k1 k2
85317,9999833.719,100000043.572,15.6953872886,0.999716455828,k1
85495,9999879.23214,100000068.154,13.1300357246,0.999897289639,f k1 k2
87972,9999879.23214,100000093.018,13.1300357246,0.999897289478,k2
94771,9999869.56002,100000089.115,9.65388194562,0.999998306417,f k1 k2
99901,9999863.2377,100000080.632,19.4724208392,0.999375660915,f k1 k2
100759,9999863.2377,100000081.283,8.74008122375,0.999975400056,f k2
101082,9999863.2377,100000044.376,12.2249237911,0.99994428897,f k2
103727,9999870.81485,100000044.376,12.2249237911,0.999944288554,k1
110507,9999898.25227,100000044.376,12.2249237911,0.999944287047,k1
110862,9999933.68014,100000044.376,12.2249237911,0.999944285101,k1
116431,9999915.62044,100000039.272,12.3431036843,0.999938794139,f k1 k2
119822,9999915.62044,100000032.261,12.3431036843,0.999938794174,k2
123181,9999915.62044,100000032.261,10.1469274155,0.999999709348,f
127298,9999915.62044,100000055.126,10.1469274155,0.999999709341,k2
127316,9999927.06448,100000057.596,8.77615982334,0.999976878482,f k1 k2
127723,9999927.06448,100000066.607,8.77615982334,0.99997687851,k2
128465,9999896.318,100000095.551,8.77615982334,0.999976877528,k1 k2
130760,9999892.99625,100000107.907,9.52622864741,0.999996787904,f k1 k2
131429,9999900.79315,100000098.526,9.52622864741,0.999996787995,k1 k2
133637,9999913.97646,100000080.7,9.52622864741,0.999996788147,k1 k2
137764,9999913.97646,100000124.829,9.52622864741,0.999996788197,k2
139593,9999913.97646,100000124.829,8.39311403746,0.999958479319,f
149250,9999935.83384,100000123.952,8.39311403746,0.999958480331,k1 k2
153703,9999928.66366,100000111.226,8.39311403746,0.999958479947,k1 k2
154773,9999936.53566,100000085.616,8.39311403746,0.99995848021,k1 k2
155390,9999936.53566,100000084.508,8.39311403746,0.999958480205,k2
161887,9999936.53566,100000073.318,8.39311403746,0.99995848016,k2
162421,9999936.53566,100000052.746,8.39311403746,0.999958480077,k2
163234,9999936.53566,100000038.832,8.39311403746,0.999958480021,k2
167820,9999941.70528,100000040.074,8.39311403746,0.999958480266,k1 k2
167997,9999941.70528,100000004.714,8.39311403746,0.999958480124,k2
168668,9999941.70528,99999986.3432,8.39311403746,0.99995848005,k2
174839,9999925.29681,99999986.3432,8.39311403746,0.999958479288,k1
183056,9999907.33196,99999986.3432,8.39311403746,0.999958478453,k1
184215,9999923.8577,99999987.7035,8.39311403746,0.999958479226,k1 k2
191661,9999923.44153,99999987.7035,8.39311403746,0.999958479207,k1
192476,9999945.59851,99999965.0515,12.4773483846,0.999932306422,f k1 k2
198580,9999938.7547,99999971.0468,12.4773483846,0.999932306805,k1 k2
199515,9999918.83695,100000000.521,6.51397196323,0.999755436172,f k1 k2
201508,9999903.88823,100000001.243,11.8488411726,0.99996033029,f k1 k2
211475,9999903.88823,99999995.5575,11.5968417765,0.999969779281,f k2
213674,9999914.543,99999981.0584,11.5968417765,0.999969778901,k1 k2
220926,9999914.543,100000001.432,11.5968417765,0.99996977883,k2
223234,9999880.71291,100000051.067,11.5968417765,0.999969780021,k1 k2
232726,9999905.28625,100000035.358,11.5968417765,0.999969779085,k1 k2
238079,9999940.48478,100000080.26,13.3817140187,0.99988236313,f k1 k2
238782,9999940.48478,100000085.415,13.3817140187,0.999882363094,k2
240562,9999956.88429,100000095.403,13.3817140187,0.999882361711,k1 k2
248057,9999956.88429,100000046.405,13.3817140187,0.999882362052,k2
255945,9999956.88429,100000021.146,13.3817140187,0.999882362228,k2
256680,9999956.88429,100000021.146,13.8812228401,0.999850663481,f
258919,9999956.88429,100000021.146,19.8396556894,0.999339770979,f
262691,9999956.88429,100000018.479,19.8396556894,0.999339771024,k2
265400,9999956.88429,100000029.018,19.8396556894,0.999339770847,k2
269552,9999943.46456,100000055.54,6.14461249086,0.99968557175,f k1 k2
270773,9999943.19952,100000049.627,6.14461249086,0.999685571653,k1 k2
270977,9999953.1248,100000077.75,6.14461249086,0.999685573199,k1 k2
272595,9999959.96818,100000077.75,6.14461249086,0.999685574055,k1
273850,9999972.55546,100000077.75,6.14461249086,0.999685575629,k1
275426,9999997.36691,100000077.75,6.14461249086,0.999685578732,k1
276565,9999958.4088,100000077.75,6.14461249086,0.99968557386,k1
291188,9999969.04605,100000064.423,9.09570350211,0.999987786802,f k1 k2
295745,9999975.39755,100000084.747,9.09570350211,0.999987787008,k1 k2
316200,9999958.63801,100000084.747,11.7347942338,0.999964738715,f k1
316670,9999949.99642,100000110.322,7.94534473197,0.999928665128,f k1 k2
317593,9999975.13047,100000138.789,7.94534473197,0.999928666803,k1 k2
321514,9999960.04316,100000133.144,7.94534473197,0.999928665858,k1 k2
343910,9999947.74555,100000121.727,7.94534473197,0.999928665051,k1 k2
351212,9999942.85947,100000121.727,3.91368737035,0.998873309432,f k1
352935,9999942.85947,100000085.194,3.91368737035,0.998873308711,k2
354523,9999969.37556,100000072.373,20.5080310475,0.999273654357,f k1 k2
356144,9999965.29689,100000072.373,7.30187694286,0.999867373957,f k1
358578,9999966.35664,100000047.066,6.91774971454,0.999818517834,f k1 k2
359164,9999952.20632,100000048.219,6.91774971454,0.999818516487,k1 k2
362343,9999936.38894,100000050.136,6.91774971454,0.999818514986,k1 k2
363124,9999930.92179,100000050.136,6.91774971454,0.999818514462,k1
365571,9999934.75185,100000043.742,6.91774971454,0.999818514776,k1 k2
367690,9999934.75185,100000040.035,6.91774971454,0.999818514746,k2
368349,9999934.27896,100000066.864,6.91774971454,0.999818514923,k1 k2
373306,9999916.04402,100000051.789,6.91774971454,0.99981851305,k1 k2
374351,9999916.04402,100000034.441,6.91774971454,0.999818512906,k2
376465,9999905.85267,100000034.441,8.05860246557,0.999937116734,f k1
376893,9999905.85267,100000034.441,9.5626429254,0.999997272442,f
378162,9999867.90593,100000034.441,9.5626429254,0.999997271987,k1
379711,9999863.35697,100000034.441,9.5626429254,0.999997271932,k1
380694,9999862.56707,100000046.268,9.5626429254,0.999997271935,k1 k2
386833,9999862.56707,100000035.778,9.5626429254,0.999997271924,k2
390372,9999862.56707,100000050.131,9.5626429254,0.999997271939,k2
391145,9999862.65329,100000024.067,9.5626429254,0.999997271913,k1 k2
393511,9999863.88075,100000024.067,9.5626429254,0.999997271927,k1
396574,9999825.74793,100000019.362,9.5626429254,0.999997271465,k1 k2
398188,9999836.99738,100000029.284,13.1215355609,0.99989778395,f k1 k2
400384,9999821.58084,100000043.677,16.5483257336,0.999645274466,f k1 k2
412468,9999846.07798,100000043.677,16.5483257336,0.999645271033,k1
415037,9999844.18531,100000043.677,16.5483257336,0.999645271298,k1
420236,9999844.18531,100000043.677,9.85556119473,0.99999971035,f
425671,9999835.70063,100000043.677,9.85556119473,0.999999710316,k1
431622,9999835.70063,100000043.677,12.1374797026,0.999948218694,f
440989,9999852.14626,100000059.031,12.1374797026,0.999948217753,k1 k2
443300,9999852.14626,100000057.943,12.1374797026,0.999948217758,k2
448330,9999852.14626,100000047.966,12.1374797026,0.999948217804,k2
451813,9999851.31917,100000028.904,12.1374797026,0.999948217935,k1 k2
454797,9999851.31917,100000039.187,6.88850999926,0.999814362956,f k2
457371,9999851.31917,100000053.216,6.88850999926,0.999814363074,k2
460345,9999821.57002,100000056.498,10.766414248,0.999992521713,f k1 k2
463095,9999844.14711,100000085.989,10.766414248,0.999992521211,k1 k2
463239,9999836.25643,100000107.909,10.766414248,0.99999252133,k1 k2
465231,9999836.25643,100000123.961,12.1031546499,0.999949728178,f k2
467960,9999830.12842,100000123.961,12.1031546499,0.999949728498,k1
471563,9999830.12842,100000137.886,12.1031546499,0.999949728435,k2
474967,9999830.12842,100000137.886,19.2348022044,0.999398687782,f
475620,9999830.12842,100000156.431,19.2348022044,0.999398687486,k2
481039,9999848.90148,100000141.467,19.2348022044,0.999398684287,k1 k2
485984,9999864.91432,100000129.854,17.6363290664,0.999548894373,f k1 k2
486142,9999865.61549,100000134.253,17.6363290664,0.999548894201,k1 k2
491380,9999843.9716,100000155.898,17.6363290664,0.999548897329,k1 k2
495797,9999847.98184,100000148.969,14.5816125729,0.999802071644,f k1 k2
501460,9999847.98184,100000146.549,12.266116705,0.999942398686,f k2
511485,9999847.98184,100000132.539,12.266116705,0.999942398754,k2
513144,9999847.98184,100000132.156,12.266116705,0.999942398756,k2
513664,9999867.53897,100000119.612,18.9477519426,0.999426278195,f k1 k2
517530,9999867.53897,100000116.872,18.9477519426,0.999426278237,k2
520043,9999848.64177,100000116.872,18.9477519426,0.999426281617,k1
525071,9999858.05755,100000130.079,18.9477519426,0.999426279727,k1 k2
533982,9999860.58788,100000124.609,18.9477519426,0.99942627936,k1 k2
534296,9999860.58788,100000133.692,18.9477519426,0.999426279218,k2
534577,9999860.58788,100000125.646,18.9477519426,0.999426279344,k2
535314,9999859.71884,100000125.646,5.84245614406,0.999618452517,f k1
541591,9999859.71884,100000149.405,5.84245614406,0.9996184528,k2
541711,9999831.95967,100000157.285,5.84245614406,0.999618449085,k1 k2
543397,9999831.95967,100000144.535,17.6039128199,0.999551848338,f k2
547091,9999831.95967,100000144.535,27.5233534245,0.998546695697,f
547609,9999831.95967,100000144.535,9.46813252514,0.999995927942,f
547788,9999811.39186,100000144.535,9.46813252514,0.999995927641,k1
548758,9999800.01866,100000158.82,14.6584594114,0.999796477638,f k1 k2
554556,9999800.01866,100000159.133,14.6584594114,0.999796477635,k2
559021,9999800.01866,100000166.444,14.6584594114,0.999796477568,k2
559200,9999800.83778,100000197.575,14.6584594114,0.999796477195,k1 k2
561803,9999805.41661,100000201.228,14.6584594114,0.999796476677,k1 k2
562757,9999798.50913,100000201.228,14.2712969481,0.999824165955,f k1
563501,9999811.87565,100000198.524,10.9854313487,0.999987872987,f k1 k2
567555,9999811.87565,100000205.289,10.9854313487,0.999987872972,k2
575974,9999811.87565,100000188.725,10.9854313487,0.999987873008,k2
578110,9999809.17442,100000188.725,10.9854313487,0.999987873077,k1
582070,9999809.17442,100000210.646,10.9854313487,0.999987873029,k2
582362,9999809.17442,100000215.402,10.3968468538,0.999997927655,f k2
584493,9999844.7112,100000218.191,8.44777790261,0.999961481867,f k1 k2
584794,9999844.7112,100000228.965,8.44777790261,0.999961481908,k2
586613,9999844.7112,100000236.006,8.44777790261,0.999961481936,k2
595587,9999860.41089,100000232.903,8.44777790261,0.999961482627,k1 k2
603673,9999871.60922,100000221.786,8.44777790261,0.999961483085,k1 k2
614116,9999871.60922,100000211.832,8.44777790261,0.999961483046,k2
614350,9999873.08819,100000211.832,8.44777790261,0.999961483112,k1
619173,9999884.66632,100000194.249,8.44777790261,0.999961483563,k1 k2
619598,9999909.05403,100000218.452,8.44777790261,0.999961484748,k1 k2
622099,9999909.05403,100000235.781,10.6326185313,0.999994842111,f k2
622906,9999909.05403,100000190.282,8.25888114059,0.999950533362,f k2
642670,9999965.73915,100000190.282,7.62195017541,0.999900821574,f k1
648495,9999971.59707,100000180.603,6.58744090681,0.999767896298,f k1 k2
650001,9999986.78862,100000180.603,6.58744090681,0.999767897939,k1
650182,9999986.78862,100000179.378,6.58744090681,0.999767897927,k2
651862,9999981.31185,100000179.378,6.58744090681,0.999767897336,k1
653001,10000002.7134,100000163.114,15.172676313,0.999757765187,f k1 k2
667744,9999981.68303,100000163.114,9.90879407123,0.999999885319,f k1
670844,9999942.07759,100000146.495,11.0109286334,0.999987262437,f k1 k2
672705,9999961.99716,100000146.495,11.0109286334,0.999987261916,k1
677525,9999961.99716,100000149.674,11.0109286334,0.999987261909,k2
679256,9999961.99716,100000116.057,11.0109286334,0.999987261985,k2
679627,9999960.50166,100000150.55,11.0109286334,0.999987261946,k1 k2
681835,9999960.50166,100000150.55,10.8158357834,0.999991560018,f
687579,9999916.81052,100000154.611,10.8158357834,0.999991560939,k1 k2
689301,9999926.15035,100000142.881,10.8158357834,0.999991560762,k1 k2
692951,9999954.52289,100000128.982,10.8158357834,0.999991560185,k1 k2
699553,9999970.37786,100000128.982,10.8158357834,0.999991559848,k1
700527,9999980.74555,100000127.151,8.43978984038,0.999961056622,f k1 k2
701460,9999992.7616,100000153.159,8.43978984038,0.999961057265,k1 k2
701605,9999973.4155,100000143.926,8.43978984038,0.999961056358,k1 k2
706271,9999973.4155,100000150.949,8.43978984038,0.999961056385,k2
710884,9999975.40672,100000164.907,8.43978984038,0.999961056529,k1 k2
715651,9999974.14429,100000125.83,12.141366307,0.999948038863,f k1 k2
722987,9999942.36801,100000121.771,12.141366307,0.999948040567,k1 k2
736783,9999942.36801,100000118.066,12.141366307,0.999948040584,k2
741042,9999942.36801,100000118.066,11.3105949513,0.999979140544,f
741256,9999985.59087,100000118.066,11.3105949513,0.999979139096,k1
743677,9999952.84948,100000163.319,11.3105949513,0.999979140061,k1 k2
751814,9999934.71562,100000163.319,11.3105949513,0.999979140669,k1
753008,9999903.1568,100000162.601,13.6026379084,0.999868674656,f k1 k2
754610,9999907.3854,100000162.601,13.6026379084,0.999868674298,k1
755164,9999907.3854,100000162.601,7.10122710963,0.999843110055,f
755209,9999907.3854,100000164.134,12.7867171442,0.999916402434,f k2
755455,9999896.86539,100000174.872,12.7867171442,0.999916403081,k1 k2
773949,9999910.25996,100000163.633,12.7867171442,0.999916402243,k1 k2
774669,9999929.22547,100000165.437,12.7867171442,0.999916400954,k1 k2
787378,9999929.22547,100000152.793,12.7867171442,0.999916401028,k2
795615,9999941.15348,100000152.793,12.7867171442,0.999916400224,k1
797246,9999912.54108,100000152.793,12.7867171442,0.999916402153,k1
797479,9999911.23109,100000152.793,12.7867171442,0.999916402241,k1
802457,9999908.20635,100000152.793,12.7867171442,0.999916402445,k1
820720,9999908.20635,100000152.175,12.7867171442,0.999916402449,k2
820802,9999908.20635,100000176.184,12.7867171442,0.999916402308,k2
821079,9999889.7884,100000176.651,12.7867171442,0.999916403547,k1 k2
823207,9999889.7884,100000164.237,12.7867171442,0.99991640362,k2
824345,9999889.7884,100000159.41,12.7867171442,0.999916403648,k2
830065,9999889.7884,100000160.207,12.7867171442,0.999916403644,k2
834601,9999889.7884,100000160.207,12.4253701681,0.999934850927,f
