gen,k1,k2,f,w,paramsMuted
2185,9999999.56024,100000000.0,3.37834602145,0.999985101193,f k1
3713,9999992.16272,100000000.0,18.0635559789,0.999995094956,f k1
8002,9999967.20728,100000015.256,45.4841507438,0.999967257462,f k1 k2
8452,9999956.28376,100000015.256,45.4841507438,0.999967257509,k1
10764,9999988.62991,100000015.256,45.4841507438,0.99996725737,k1
11408,9999980.78173,100000034.762,27.8512279243,0.999985110432,f k1 k2
11699,9999980.78173,100000034.762,20.2144551255,0.999993025743,f
12845,9999980.78173,100000034.762,33.2192783079,0.99997948627,f
14119,9999980.78173,100000034.762,0,0.999350188037,f
15312,9999980.78173,100000052.144,0,0.999350188046,k2
16415,9999963.66766,100000054.769,0,0.999350188038,f k1 k2
16557,9999963.66766,100000054.769,19.1002529212,0.99999411459,f
18851,9999963.66766,100000076.117,11.9056069622,0.999999580498,f k2
21546,9999972.3751,100000076.117,30.842518527,0.999981964432,f k1
22697,9999972.3751,100000077.821,19.2412662244,0.99999397859,f k2
23930,9999955.34264,100000052.152,16.5635472055,0.999996438847,f k1 k2
24639,9999955.34264,100000059.043,16.5635472055,0.999996438846,k2
26059,9999955.34264,100000056.302,16.5635472055,0.999996438847,k2
28610,9999955.71856,100000083.781,24.3640366268,0.999988778066,f k1 k2
35169,9999936.58412,100000083.781,24.3640366268,0.999988778115,k1
42220,9999930.47209,100000100.624,24.3640366268,0.999988778126,k1 k2
44511,9999922.8697,100000075.22,20.7389767365,0.999992503197,f k1 k2
47770,9999952.87268,100000054.567,20.01856846,0.999993219456,f k1 k2
47855,9999984.43154,100000054.623,20.01856846,0.999993219395,k1 k2
48293,9999993.45868,100000042.399,20.01856846,0.999993219379,k1 k2
48705,9999993.45868,100000039.732,24.0193670206,0.99998913793,f k2
49035,10000005.4148,100000039.732,24.0193670206,0.9999891379,k1
52660,10000005.4148,100000039.732,34.4349554971,0.999978229489,f
54469,10000008.4548,100000035.312,34.4349554971,0.99997822948,k1 k2
54925,10000027.421,100000035.312,34.4349554971,0.999978229413,k1
60178,10000030.3745,100000035.312,22.9596086589,0.999990238807,f k1
65396,10000030.3745,100000035.312,16.853472132,0.999996187176,f
65742,10000030.3745,100000035.3,16.853472132,0.999996187176,k2
69337,10000030.3745,100000043.923,16.853472132,0.999996187175,k2
69453,10000015.6698,100000043.923,16.853472132,0.999996187196,k1
73611,10000000.1951,100000043.923,16.853472132,0.999996187219,k1
75691,10000003.0493,100000043.923,24.576938034,0.999988555244,f k1
80275,10000002.1829,100000087.076,18.1905768119,0.999994976786,f k1 k2
85444,10000017.5857,100000087.076,48.7216704499,0.999964212064,f k1
92361,10000011.6606,100000045.56,48.7216704499,0.999964212107,k1 k2
96322,10000017.0686,100000025.582,47.3046849603,0.999965535199,f k1 k2
103131,10000017.0686,100000051.449,47.3046849603,0.999965535189,k2
103782,10000017.0686,100000051.449,29.7219764946,0.999983140341,f
105884,9999997.80461,100000039.346,33.2622521107,0.99997944165,f k1 k2
