gen,k1,k2,f,w,paramsMuted
92,9999982.50238,100000019.833,9.94492789942,0.999999995831,f k1 k2
1846,9999973.32568,100000007.937,9.94492789942,0.99999999583,k1 k2
2881,9999992.81662,100000022.473,9.94492789942,0.999999995833,k1 k2
4539,9999978.26005,100000009.603,20.8613029507,0.999923806683,f k1 k2
4803,10000000.3381,100000032.182,30.2476300092,0.99982589581,f k1 k2
5101,10000000.4797,100000026.729,24.9103001007,0.999882066538,f k1 k2
11111,10000000.829,100000026.458,20.7715329744,0.999924706765,f k1 k2
12461,10000000.829,100000006.185,6.00830142832,0.99996564369,f k2
15797,10000014.7116,100000006.185,6.00830142832,0.999965643871,k1
20765,10000021.0218,100000006.185,6.00830142832,0.999965643953,k1
23979,10000021.0218,100000002.351,15.4203354443,0.999973838775,f k2
25109,10000021.0218,100000002.351,13.0723189812,0.999990059128,f
28079,10000043.2523,100000002.351,13.0723189812,0.999990058965,k1
28707,10000047.4161,100000002.351,13.0723189812,0.999990058934,k1
29376,10000047.4161,99999947.2668,13.0723189812,0.999990058969,k2
34058,10000030.2557,99999947.2668,13.0723189812,0.999990059096,k1
35112,10000026.764,99999947.2668,13.0723189812,0.999990059121,k1
46278,10000019.0396,99999933.4534,13.0723189812,0.999990059187,k1 k2
46385,10000029.5783,99999928.2886,13.0723189812,0.999990059113,k1 k2
47282,10000039.4814,99999928.2886,13.0723189812,0.99999005904,k1
48856,10000009.8272,99999925.9497,17.4560248226,0.999956513591,f k1 k2
50168,9999996.94388,99999946.7811,17.4560248226,0.999956513763,k1 k2
52056,9999990.25627,99999946.7811,17.4560248226,0.999956513867,k1
57101,9999987.30536,99999942.2264,21.9591225482,0.999912680913,f k1 k2
61321,9999949.91352,99999957.3747,21.9591225482,0.999912681712,k1 k2
64976,9999959.06375,99999957.3747,35.6202813711,0.999770149499,f k1
67250,9999992.0329,99999957.3747,35.6459509552,0.999769885736,f k1
69522,10000006.3237,99999956.2382,29.0273648715,0.999838723273,f k1 k2
71723,10000006.3237,99999956.2382,3.82493491673,0.999881920147,f
73119,9999979.63351,99999956.2382,3.82493491673,0.999881919527,k1
75423,9999979.63351,99999955.1505,3.82493491673,0.999881919524,k2
76763,9999979.63351,99999960.2832,27.3598938829,0.999856293749,f k2
77016,10000005.4552,99999957.0843,17.9917071796,0.999951616032,f k1 k2
80644,10000005.4552,99999957.0843,19.6922020304,0.999935402031,f
83676,10000027.7672,99999957.0843,19.6922020304,0.999935401608,k1
83994,10000029.6054,99999962.4548,57.7155633534,0.999561663605,f k1 k2
84499,10000034.704,99999939.2747,57.7155633534,0.999561663456,k1 k2
84627,10000006.9321,99999922.8471,57.7155633534,0.999561664895,k1 k2
84947,9999989.41341,99999880.7661,57.7155633534,0.999561665942,k1 k2
85591,9999976.54636,99999904.6308,46.2187581118,0.999665646325,f k1 k2
93396,9999976.60924,99999904.6308,46.2187581118,0.999665646322,k1
96268,9999976.60924,99999935.8483,46.2187581118,0.999665646203,k2
99483,9999963.69228,99999935.8483,49.3505680529,0.999636358964,f k1
104452,9999984.11529,99999931.697,26.5616005823,0.99986470656,f k1 k2
