gen,w_bar,w_var,k1_var,k2_var,f_var,numk1,numk2,numf
0,0.772656258381,0.0146921124308,41964.1815813,40806.4250958,13505.8257705,618,618,338
1,0.794992045211,0.0112507823328,84261.4929327,74940.6991151,31374.4241814,634,634,437
2,0.795723635135,0.00875278332817,119886.059705,117152.828743,46317.8074237,627,627,476
3,0.79433159908,0.0085147023201,165379.178352,149150.444414,65457.5991885,641,641,492
4,0.792814530211,0.00789333866602,204016.174195,206378.358993,80091.1021176,643,643,507
5,0.798189881392,0.00647151328481,238506.502227,240948.493175,89768.663656,626,626,525
6,0.802678687473,0.00550904915668,271050.772836,263080.371413,93664.1937917,628,628,549
7,0.800146572919,0.00552681174026,313077.399233,319002.61596,104091.384695,641,641,558
8,0.796878118682,0.00550874489929,345448.380424,365571.144174,118667.377258,659,659,580
9,0.78973619117,0.00611902887479,386138.377153,420386.042916,135680.682198,640,640,538
10,0.789295563861,0.00537079645252,457862.25829,480961.372943,139958.36164,627,627,535
11,0.794579914723,0.00509051634788,485183.742952,485035.696369,147920.654435,649,649,572
12,0.7958410066,0.00504638035526,504835.447472,520643.037753,155500.375164,617,617,550
13,0.794760463208,0.00505572089044,532005.684076,545602.411928,171507.55184,630,630,563
14,0.792393644468,0.00521863478774,588166.177132,596103.968597,188017.082712,631,631,555
15,0.79260706316,0.00538033067885,549634.801955,646073.414942,184618.736501,628,628,550
16,0.790796733706,0.00468243348217,626767.227222,666343.831466,177036.20673,648,648,573
17,0.785049174098,0.00466526203678,684426.18635,708156.411404,186422.359968,636,636,556
18,0.793799329332,0.00461612326371,746732.741746,779366.835041,195656.868159,643,643,583
19,0.794438080097,0.004416619916,747278.690768,807248.909763,193838.65694,625,625,567
20,0.794495966207,0.00424797471305,747453.287268,826316.95928,207496.169693,638,638,584
21,0.789878781742,0.0042452849999,881364.377388,867107.060766,221189.44517,645,645,579
22,0.794289977913,0.00454647474403,952203.18923,899568.419527,250560.799812,621,621,565
23,0.783038968096,0.00454334341333,979408.384958,925739.928627,271199.061827,622,622,545
24,0.789041465297,0.00387393452197,984014.644309,918186.050381,260289.869676,640,640,583
25,0.787624690409,0.00418631155012,1017417.06036,984947.979476,270103.048207,633,633,572
26,0.789520105736,0.00436538127706,1119114.69771,971280.340275,288220.385035,612,612,561
27,0.790314372997,0.00509722807083,1188526.51722,1027286.97877,292554.352845,628,628,566
28,0.785963094942,0.00443145720601,1189661.58166,1051869.65738,322776.82102,624,624,561
29,0.784409019845,0.00482053917063,1286468.94537,956990.021516,335034.408542,619,619,556
30,0.78615396979,0.004316279988,1362463.53194,972959.733176,333519.811601,620,620,560
31,0.788061880454,0.00407992706945,1512001.3886,1021765.9905,317805.015166,647,647,591
32,0.786092196535,0.00391240553184,1531087.11916,1104462.02679,356820.376382,636,636,581
33,0.785851517798,0.00418245542712,1612620.03606,1189806.14272,371688.359792,640,640,587
