gen,w_bar,w_var,k1_var,k2_var,f_var,numk1,numk2,numf
0,0.874174961371,0.0193280746878,374.399796817,418.561221132,219.520890538,620,620,446
1,0.891157586798,0.0145871185244,828.96454771,801.598593127,406.495635706,628,628,499
2,0.887842903554,0.0138473426483,1254.39289844,1259.22294474,542.798175235,628,628,504
3,0.894392500283,0.0116863239371,1674.17709325,1608.35332664,781.079313464,628,628,522
4,0.889631849396,0.0115828293133,2152.0522301,1964.5228146,985.807024464,623,623,528
5,0.897231219159,0.00966952720983,2469.47430706,2417.79573744,1107.06595309,619,619,530
6,0.895154733151,0.00908946969079,2731.43641785,2660.56436879,1326.40696114,628,628,552
7,0.901613126483,0.007502917855,3185.53746497,2919.09404917,1534.83876284,619,619,562
8,0.8923551476,0.00888813249681,3739.6094125,3198.29743184,1751.86944791,653,653,579
9,0.88944928344,0.00901448864987,3853.1995767,3620.54122137,1914.93968387,633,633,561
10,0.893210159569,0.00782669831421,4068.32412775,4050.45687793,1986.60895302,628,628,562
11,0.88906836269,0.00830665394156,4274.31743182,4786.26072182,2227.32190992,634,634,569
12,0.893408469256,0.00673824885146,4646.29034493,5610.81492051,2483.67472894,622,622,569
13,0.889899530175,0.00715076211237,5471.95787203,6462.19432715,2715.09329233,627,627,572
14,0.897005193703,0.00628648918165,5825.29868125,6881.03426199,2667.50631577,609,609,561
15,0.893340027673,0.00710576702819,5949.9806529,7538.29368555,2469.78797677,629,629,573
16,0.892866728306,0.00717842565357,6380.99500808,7560.86613533,2492.60047051,618,618,567
17,0.898623042571,0.00571849185053,6594.36468417,7909.61385822,2526.00493825,633,633,589
18,0.892916827138,0.00674429402627,6946.08647199,8012.59178873,2510.38117334,640,640,590
19,0.892871216597,0.00614135091767,7263.28777115,8242.07847958,2313.52123658,642,642,592
20,0.891706611781,0.00640632406543,8887.84212882,8573.24700704,2292.91413272,623,623,578
21,0.897362438543,0.00501326710888,8887.13919126,8234.24249258,2473.21174912,635,635,602
22,0.896091054325,0.0053334995862,9146.31346303,8897.30789685,2720.82032082,645,645,608
23,0.893253924638,0.00552892387077,9692.45052424,9464.90255375,2896.97739178,633,633,591
24,0.890061222527,0.00615922189191,9674.59739049,9052.60265552,3368.64952271,622,622,576
25,0.889033213996,0.0064095004704,10044.6789724,9236.39625135,3351.70841705,634,634,585
26,0.892190931375,0.00565648480349,11001.2119109,10316.2750015,3072.58585025,628,628,585
27,0.895998173176,0.00517118325275,11589.142674,10561.4372032,2588.36931972,633,633,594
28,0.892489337553,0.00529627879424,11063.5994371,10222.7133865,2634.80754127,644,644,601
29,0.891789749114,0.0053415802119,11117.6441076,9868.13092503,2277.57387162,631,631,589
30,0.89274618372,0.00527542633909,11968.9149302,10013.688141,2465.59928522,626,626,589
31,0.888582590235,0.00545079374431,12684.5160665,10646.4466853,2761.92249703,627,627,580
32,0.888613056002,0.00547190948603,13477.339134,12000.8098853,2979.23970051,635,635,598
33,0.887083217547,0.00560695256575,14488.7329978,12983.7109373,3065.8664991,635,635,591
34,0.891317302615,0.00502505973277,14201.6695283,12990.9017941,3195.56661588,634,634,595
35,0.88633462137,0.00580987797874,14827.1293335,13457.0310384,3322.02607906,631,631,586
36,0.879302637947,0.00659433383633,16609.0282297,14038.7276988,3520.88144641,633,633,585
37,0.880008872998,0.0060706730177,17701.8371699,14961.6815539,3646.50409969,636,636,588
38,0.885520105503,0.00485990201483,18992.4465253,15589.0205971,3474.61892872,630,630,590
39,0.889436173822,0.00404459553739,20032.0019204,15585.0284455,3679.67427045,617,617,590
40,0.885694536727,0.00512427170054,21058.7623545,16001.9318051,3580.45106656,636,636,600
41,0.885748352647,0.00429307801292,21318.7447339,16735.0702836,3427.11382513,646,646,614
42,0.888074946496,0.00364958279353,21728.8073617,16962.3071383,3345.74602035,618,618,595
43,0.889551605533,0.0034880843372,22627.1528607,16768.0263719,3141.20056504,623,623,601
44,0.885940055966,0.00506475773668,24820.3705229,17672.7229208,3355.84030062,637,637,606
45,0.888016131429,0.00460134006513,27804.9990105,17140.2140407,3591.8773192,623,623,588
46,0.885996358055,0.00472492653964,27109.8813384,18125.5077867,3382.89402758,637,637,602
47,0.884987951782,0.00491753330065,25034.3911691,18098.7141723,3516.9297071,626,626,592
48,0.886041547912,0.004329766021,25495.9960691,18783.4862975,3392.49953825,642,642,607
49,0.886582834145,0.00394149666851,24275.8724289,19319.045488,3414.79728026,640,640,615
50,0.889220260098,0.00345419878107,25070.4006404,20000.3259147,3689.00328403,634,634,611
51,0.883016891485,0.00414050600307,25455.1211931,20723.2867022,3662.4786381,622,622,591
52,0.887898558041,0.00342420420108,24911.5677463,22120.9630194,3581.1421015,627,627,610
53,0.882865370957,0.00458384228363,25407.0329645,23311.9102796,3464.16250946,633,633,601
54,0.881176878031,0.00507102391176,26462.7009219,23063.601937,3830.33393626,626,626,591
