gen,w_bar,w_var,k1_var,k2_var,f_var,numk1,numk2,numf
0,0.777003541695,0.00252368406674,437.652406977,396.337348654,136.082662852,626,626,313
1,0.783761983201,0.00230805261271,858.464933887,840.472771948,244.392990755,619,619,387
2,0.784584919696,0.00180030062913,1295.40928232,1098.86131023,388.75847547,637,637,451
3,0.784299044233,0.00155162368755,1582.7202548,1450.62208312,554.412194896,635,635,472
4,0.784568646075,0.00169645104405,1851.42004528,1790.93241905,721.024455888,630,630,497
5,0.782639983906,0.00172226472344,2330.48791495,2333.14542311,792.268603831,622,622,473
6,0.782477155255,0.00160592290992,2931.52014707,2796.71151499,848.75222645,624,624,494
7,0.779495762042,0.00129070514572,3511.87530149,3166.03059694,1041.40186775,635,635,500
8,0.778342843264,0.00127240944909,4077.12570787,3339.84018785,1111.70474481,609,609,485
9,0.784233264294,0.00160064206628,4248.1532486,3707.62826461,1261.28247223,611,611,510
10,0.780460017042,0.00138664373924,4625.24060846,4216.71719728,1534.26695411,628,628,524
11,0.775931994825,0.00110331391838,5011.22549414,4203.03211594,1537.48984038,616,616,496
12,0.776658011895,0.00136887170154,5340.65440677,4493.06076786,1616.70603677,630,630,517
13,0.775742022355,0.00114057201148,5651.91743297,4750.03602475,1732.63566099,627,627,523
14,0.777140474187,0.00132235523323,5841.53447092,5123.43822642,1805.27826671,632,632,534
15,0.775540442009,0.00135707316772,6121.71227604,5245.63688965,1886.89887241,642,642,525
16,0.773816102481,0.00114749297447,6718.81442554,5624.43513797,2045.32803567,628,628,528
17,0.77543670328,0.00124522514844,7049.75687157,6041.16852112,2236.56054594,634,634,540
18,0.775880209483,0.00125952971522,7677.93246214,6813.0460519,2342.5398824,622,622,529
19,0.773668083387,0.00108943941096,7971.36766465,7508.57671284,2433.53438117,639,639,546
20,0.779730482235,0.00181485123384,8009.50343408,7372.70574807,2472.24520865,627,627,553
21,0.775634654135,0.00146712107561,8926.74525505,7101.81231451,2469.1052461,639,639,551
22,0.774150327555,0.00135804657704,9098.08726531,6988.20530873,2799.35843674,637,637,555
23,0.77189579199,0.000939526509871,9305.37762012,7362.65106112,3005.28339719,635,635,537
24,0.773863786807,0.00106878181154,9013.50295413,7446.04173015,2679.73416557,636,636,556
25,0.774220739603,0.000956211406953,9128.92919414,8068.74024662,2732.75174742,628,628,551
26,0.775067070268,0.00126308155015,9655.63221383,8338.817043,2668.46259893,619,619,547
27,0.773557592197,0.0012244701368,9944.80567526,8327.86300649,2831.40441962,645,645,563
28,0.774109171182,0.0012536234803,10006.0760938,8423.45464796,2640.38093491,625,625,538
29,0.77353066586,0.00105298385712,9910.19827726,7662.29883235,2416.21644577,618,618,526
30,0.774762569363,0.00109726771211,9598.95805322,7850.86582015,2506.13212772,620,620,543
31,0.775033809697,0.00105574669091,10429.4019831,7893.08463206,2494.9225875,627,627,550
32,0.773683027677,0.00126182339321,11085.4351992,8492.94072273,2506.57952975,647,647,567
33,0.771058804625,0.00102085447657,11101.3192145,8416.84137146,2545.66657078,622,622,526
34,0.777695050376,0.00154053668316,11725.0820789,8501.32150852,2385.33614701,628,628,552
35,0.774980077003,0.00130903536471,12121.265205,9826.52293332,2488.17776916,633,633,554
36,0.771980814521,0.00096664450016,11864.4002993,9553.383471,2438.53016923,636,636,550
37,0.77514697924,0.00119459027956,11914.2187123,10107.0915032,2300.39799516,636,636,541
38,0.775385884637,0.00116682086534,12661.5579906,10205.8296923,2331.23929941,635,635,542
39,0.776507950211,0.00142494776976,12167.5043319,10251.4335378,2491.99621455,613,613,527
40,0.774463476164,0.00125573654123,12048.4295868,10443.964795,2554.78755398,648,648,547
41,0.774438473281,0.00121520341372,13422.7728208,11122.9618921,2769.62803504,624,624,520
42,0.775157740083,0.00108466527523,13879.1807497,11638.7103252,2558.79157987,626,626,540
43,0.776243308845,0.0014969557262,13221.092219,12466.2900966,2723.40916994,633,633,535
44,0.776481943776,0.00163277339925,13984.6985506,12601.1843514,3000.47623227,654,654,560
45,0.773863630082,0.00127045906006,14178.7979914,12978.9333028,3065.08699512,618,618,514
46,0.772935941757,0.00114543189862,14133.1066108,14101.2139812,2767.19251586,621,621,524
47,0.771709090256,0.00114922951456,14563.3085601,15484.6296058,2550.99079435,625,625,521
48,0.772932655388,0.00126418793651,15788.9553954,14999.1152067,2917.40174362,631,631,535
49,0.774900441448,0.00125407722187,15622.5168192,14627.2351601,2978.37559451,640,640,553
50,0.776582817063,0.00144097400535,16182.3643538,14468.3535311,2997.67861048,610,610,526
51,0.774413603422,0.00142266181078,16016.908949,15429.936364,3157.07515961,632,632,527
52,0.774537931119,0.00139685760576,17283.8019143,16473.138464,2894.09932434,633,633,534
