gen,w_bar,w_var,k1_var,k2_var,f_var,numk1,numk2,numf
0,0.743339474826,0.000564944995873,40348.3690268,40987.2476156,14252.5702506,619,619,301
1,0.743467216263,0.000762470441156,80100.3106773,91878.6837716,28371.9534771,647,647,407
2,0.73974336997,0.000629329301412,124921.754451,123037.325134,44960.0683367,628,628,432
3,0.73659776163,0.000491355590618,152667.429225,159452.220266,56217.371431,617,617,452
4,0.734913749529,0.00054577443473,195816.740139,205800.046868,72291.9429958,640,640,497
5,0.733174812537,0.000511620872973,243431.833278,250121.471221,83830.6882772,634,634,486
6,0.732769382708,0.000593526775686,282340.293004,277049.520429,90617.7779112,633,633,495
7,0.731780362974,0.000544190539485,316173.038027,330645.723934,86979.0150403,637,637,520
8,0.732753700478,0.000663359385582,342980.585765,386705.779013,98769.7666704,642,642,521
9,0.731338239484,0.000743481258121,379998.156556,416943.188119,108698.14705,611,611,488
10,0.730835505438,0.000622210928682,425148.825575,447916.474659,105444.437036,628,628,504
11,0.729842418498,0.000622590716945,463361.191436,496962.957599,120411.976348,650,650,531
12,0.73108944651,0.000854062226189,511748.380021,539504.781185,137905.532134,646,646,535
13,0.728915398811,0.000605929634717,541413.635993,581332.243414,148748.734855,640,640,512
14,0.72759372314,0.000533626713598,591046.712254,627882.666522,141225.681127,613,613,509
15,0.726704672792,0.000602949684004,649213.906603,709352.392173,137474.793332,632,632,529
16,0.727238326543,0.000679961683455,676428.805974,778231.169487,161722.3132,639,639,541
17,0.725450370553,0.000513391255331,779792.172418,790986.873566,178930.7884,637,637,524
18,0.726796607212,0.000636896276938,777917.675782,836566.361636,186313.275981,653,653,547
19,0.726785137872,0.000738532097379,868435.941728,895106.64197,214649.572659,624,624,537
20,0.728995800192,0.000815200373083,1026396.97277,946659.627159,217617.593581,606,606,520
21,0.726562503299,0.00075430177666,1040804.59447,1008125.44577,208960.039746,635,635,521
22,0.726657099415,0.000699854397702,1064944.35577,995386.366434,199248.351787,614,614,500
23,0.726657065766,0.000684168000719,1071066.69588,1042593.50777,224895.594245,644,644,532
24,0.727088925554,0.00080083586884,1166835.42157,1038974.40419,208349.214516,631,631,522
25,0.724406341464,0.000611202784022,1240951.36474,1030768.31113,216620.880684,638,638,538
26,0.72469078275,0.000641253902387,1287158.9129,1129428.33434,211329.466399,644,644,545
27,0.724596053649,0.00082872771695,1273720.57213,1209498.86783,227586.463878,640,640,536
28,0.722546857455,0.000700051289227,1281400.70474,1297275.53171,248357.540774,630,630,528
29,0.722137331186,0.000662147075881,1283604.63825,1333816.6602,283196.168511,641,641,548
30,0.721186358873,0.00063228486669,1350967.84635,1370772.9295,323582.61124,623,623,520
31,0.721546597839,0.000704823928165,1463300.63556,1513922.49229,337399.213669,622,622,527
32,0.720831465506,0.000718105122062,1614236.57452,1634212.07767,342850.119828,617,617,527
33,0.718865061003,0.000599450572788,1732526.38658,1733044.38841,382197.471717,638,638,554
34,0.718678423701,0.000712454274001,1789718.32854,1899636.92151,400529.058494,636,636,562
35,0.71883491038,0.000705002921086,1843106.20672,1821236.85345,372727.409404,638,638,564
36,0.719771479646,0.000842959749951,1925947.82872,1917831.33488,393331.738438,612,612,537
37,0.71840901168,0.000695226841283,1919799.8889,2014569.22475,406171.981008,644,644,550
38,0.720598912847,0.000763296732815,1882798.03417,2073360.11191,369526.153883,629,629,546
39,0.720941907577,0.00081620833394,1944990.44912,2173569.6412,369402.877552,629,629,552
40,0.721239126907,0.000759840278127,2044510.31892,2210382.12403,362985.859386,642,642,567
41,0.720545410851,0.000824857941224,2155371.03832,2248720.93979,378263.121985,633,633,552
42,0.722359134147,0.000848376360307,2269431.80729,2387559.13003,405176.540546,631,631,548
43,0.719549897477,0.000562458236538,2353201.28378,2514266.39846,341528.166307,640,640,551
44,0.720629332246,0.000730580947125,2314470.72863,2592867.70588,369670.697669,627,627,557
45,0.720042046742,0.000802081939859,2302825.44634,2585770.57385,409929.836065,634,634,554
46,0.718253311125,0.000653821791295,2511077.57327,2823673.93445,450435.044184,640,640,553
47,0.72037954999,0.000882182695829,2470098.43216,2662684.16902,414583.417905,637,637,559
48,0.719582723119,0.000669025300348,2483866.66065,2750641.08326,411634.373013,616,616,534
49,0.719523454014,0.000665529038633,2418306.65288,2729173.4733,424036.354555,627,627,544
50,0.72078934951,0.000839704611331,2489121.97272,2849898.38518,363063.768891,634,634,551
51,0.720764853403,0.000663457860046,2504235.91451,2896290.53286,400418.696126,635,635,554
52,0.721305987965,0.000748513540209,2605204.61407,2846011.08395,384076.525198,632,632,550
53,0.721184939686,0.000762211958894,2682997.31707,2823382.26266,429559.500707,629,629,545
54,0.719834785583,0.000661048115278,2754406.35241,2852897.29993,431740.840612,646,646,548
55,0.720964121577,0.000791345170549,2922398.6031,2805539.17444,472607.815406,636,636,542
56,0.721671197409,0.000768638815699,2819273.88611,3042090.11737,430404.099169,643,643,560
57,0.723976278096,0.000876321419064,2993982.63362,3277947.78781,382784.881708,642,642,560
58,0.721352912818,0.000680429174638,2773558.3495,3389664.94334,417265.425166,624,624,534
59,0.722193205122,0.000898897345358,2866741.94518,3461136.38621,388850.392886,644,644,542
60,0.722276627348,0.00084261793005,2843358.01831,3333326.13437,412643.144324,623,623,548
61,0.720535718878,0.000718147832693,2886414.8071,3066442.0983,394118.047258,631,631,549
62,0.720226307105,0.000776492097857,3070737.93727,3201833.80163,387097.91445,609,609,528
63,0.720399142618,0.000715330379105,3090011.09444,3263988.98706,381843.476726,623,623,534
64,0.723095250595,0.000861454158209,3155710.24641,3238995.66938,337723.408187,609,609,526
65,0.722606185807,0.000829129383643,3169446.01356,3359014.78664,330677.05343,634,634,534
66,0.71995636785,0.000539252950802,3205303.22497,3342357.03586,321927.859823,622,622,524
67,0.722856122423,0.000837649114078,3516125.91418,3502507.67803,311973.755088,626,626,553
68,0.722667950863,0.000721815461371,3541570.51023,3623998.07814,333903.469139,631,631,538
69,0.721927773423,0.000758354716119,3618182.37382,3645348.88296,373011.699477,632,632,543
70,0.721428531398,0.000777953784732,3725988.484,3709410.80666,398337.119849,641,641,547
71,0.722652403731,0.000747119487801,3743822.76968,3988105.93269,399599.937473,626,626,541
72,0.722019888354,0.000696298722951,3619886.93668,3996239.33427,401189.2639,628,628,542
73,0.720588964408,0.000616290493949,3768757.43784,4091955.616,386417.45233,634,634,553
74,0.722251060445,0.000863017912213,4022103.72313,4054861.4202,380494.718309,648,648,567
75,0.72035910965,0.000764012450042,4015353.19638,3942419.33536,367057.944014,653,653,566
76,0.72042122064,0.000966839664933,3608061.77676,3891186.02318,396565.850783,638,638,562
77,0.71925153198,0.000695231136562,3509566.65322,3980180.90982,392465.053099,641,641,562
78,0.717628227636,0.000565085613063,3531881.16727,4272770.50587,392147.696428,634,634,556
79,0.721501011376,0.000896351716902,3545579.84863,4520539.22216,416526.054334,642,642,561
80,0.722312849347,0.000882434454582,3294078.42651,4373483.85184,396749.44715,635,635,547
81,0.72267085808,0.00076135845885,3451474.49272,4590805.75912,380578.087451,647,647,563
82,0.723223247933,0.000960997249168,3701657.91495,4184077.08594,372372.251432,649,649,554
83,0.722029866109,0.00082985494979,3763730.11839,4343118.13754,359159.50905,629,629,530
84,0.722302671309,0.000754706633408,4004883.3881,4598641.03825,344690.13095,631,631,533
85,0.720652203556,0.000640806655708,3946508.32667,4506860.97211,389178.027317,638,638,546
86,0.721326828045,0.000840068098622,3878256.30465,4450549.13782,360814.140322,645,645,561
87,0.722237378563,0.000942122504938,3657082.51593,4469240.42673,337721.569254,636,636,549
88,0.721771677968,0.000797920258391,3761357.64081,4292680.35293,387562.933774,627,627,547
89,0.719197920154,0.000692858912894,3700051.20458,4439488.61559,382977.645257,632,632,566
90,0.718970620633,0.00063659625854,3562153.98555,4382003.15111,362971.916374,630,630,566
91,0.719819311062,0.000737364862022,3705182.2333,4510892.55735,378204.130889,623,623,553
92,0.718606520374,0.000649206857804,3861621.69879,4330951.8521,387627.091985,640,640,561
93,0.719458723194,0.000681869517152,3623721.99317,4172032.40113,409481.027629,609,609,532
94,0.720491830823,0.000792574734611,3621552.19279,4805174.92407,376159.837577,635,635,561
95,0.718447358382,0.000559395695813,3436659.82821,4725459.37745,409945.092974,643,643,573
96,0.718444828086,0.000583519417094,3328600.63932,4559687.50322,393635.316213,633,633,561
97,0.718805143189,0.000632723445974,3077695.42076,4582474.53864,369696.69674,628,628,552
98,0.718569079798,0.000625968960409,3029852.1108,4545436.58161,383677.569008,643,643,565
99,0.7196477475,0.000707888675293,2992883.17951,5324991.42379,354613.778624,647,647,570
100,0.721337898055,0.000797146044502,2963290.22315,5170767.07238,364283.133964,635,635,556
101,0.722923132642,0.000856975233409,2981094.15843,5558174.09875,391465.660121,632,632,536
102,0.722741278824,0.000909655921501,3023272.47375,5773640.09062,405392.396808,620,620,526
103,0.722687124551,0.000840622228359,3207804.71985,5547535.16601,403764.578387,644,644,556
104,0.722204405912,0.000846736737413,3137507.32187,5736162.74303,418626.189288,640,640,552
105,0.722901283113,0.000800949692376,3203398.66501,5417627.68941,347330.543934,640,640,558
106,0.724044978059,0.00100444330316,3286683.71958,5108285.84969,365961.935457,625,625,533
107,0.722252221464,0.000742458531824,3114074.15439,5154605.39831,361010.83154,632,632,539
108,0.722503332353,0.000810561853216,3098992.58342,5069629.32617,347555.790401,635,635,533
109,0.723162487585,0.000865924449062,3200489.83534,5002639.32046,350917.08382,623,623,531
110,0.721775169038,0.000607136524099,3370137.14729,4701073.8066,337153.743228,630,630,537
111,0.72280212202,0.000671147715155,3337395.9089,5060648.32174,318604.617469,634,634,538
112,0.726000465213,0.000874678218461,3508219.80246,5089173.71646,352381.814752,621,621,531
113,0.72382270877,0.00067295183099,3514282.81905,5001117.13197,364826.90496,638,638,544
114,0.723588302362,0.000642516537745,3561166.41074,5027329.09786,335733.550108,643,643,545
115,0.724491349179,0.000687632951044,3492039.65028,5077008.12563,334286.042106,631,631,543
116,0.722991762044,0.000572720145343,3549506.8899,5059205.16615,355111.191305,635,635,540
117,0.723526654881,0.000699977422052,3597076.68164,5065727.8308,331354.681962,620,620,529
118,0.723401141046,0.000661093896439,3618028.11243,5268941.31281,325168.216359,631,631,530
119,0.722397064194,0.000600702926302,3544042.77971,5315568.14876,313417.121052,622,622,517
120,0.725107311825,0.000772152433498,3596911.02128,5420658.84374,331123.077739,638,638,549
