gen,w_bar,w_var,k1_var,k2_var,f_var,numk1,numk2,numf
0,0.8250058673,0.00768051778119,4.05131985355,3.90356449223,1.39090136524,627,627,334
1,0.832459191272,0.00652970126293,7.98988446637,7.21278831385,2.7112474128,635,635,403
2,0.839430744629,0.00542833676213,12.3886576091,11.6947891504,3.75712927621,620,621,437
3,0.841969132084,0.0046177561836,17.0266909261,15.0396722785,4.81094873559,614,614,476
4,0.8405063856,0.00439968548639,22.1497497905,17.4082702637,6.1891944142,629,629,488
5,0.840995456244,0.0039910037179,24.7314897826,22.2561357366,7.45686480386,643,643,501
6,0.843853886964,0.00366029217663,27.9630980604,26.6495254844,9.25405951811,624,624,514
7,0.835931594765,0.00366720294107,32.4750186329,29.4794455764,11.1538359276,641,641,511
8,0.841568402002,0.00333477178817,36.5951781307,33.6106301025,11.6539269156,632,632,538
9,0.835080739153,0.0032819631595,40.1949041676,34.9124347237,12.6189102105,617,617,509
10,0.837983263628,0.00305146100097,42.5315301645,39.2560601767,14.0694549184,640,640,540
11,0.837158160509,0.00318546506708,48.1529206064,48.2049180828,13.5910174133,626,626,526
12,0.841303804849,0.00291709787741,52.8128517062,50.3778143855,14.3560553728,631,631,540
13,0.836263739985,0.00292801071032,62.4563648785,54.3419218189,16.9129440807,618,620,524
14,0.837471904395,0.00269844567546,69.796515864,57.5247653454,18.7520717104,620,620,546
15,0.838751602078,0.00235467003401,73.5624919799,62.0501019949,18.8305664969,619,619,558
16,0.835287827074,0.00249856938712,81.1342658703,66.1128833312,20.4774745,631,631,550
17,0.834593164373,0.00280239366221,84.3710593389,77.9398066486,22.6543451171,622,622,541
18,0.837299523341,0.00270882589084,90.5213540099,83.2113596726,22.9597402675,628,628,545
19,0.838669691875,0.00259717734832,89.2278356263,91.2005308729,23.5378177014,636,636,565
20,0.836265511324,0.00275941957118,98.4305991263,91.1116383802,23.2358393073,647,647,572
21,0.837716390778,0.00257537022805,97.3800033196,98.1630930929,24.5555535682,632,632,563
22,0.837355852632,0.00260495792759,100.621999579,101.394149936,25.0983004245,650,650,574
23,0.835093337372,0.00255281867401,96.5481916403,104.888300544,28.7359317683,611,611,538
24,0.835418450274,0.00240163227956,97.8505014471,96.8301951576,30.6439342166,637,637,566
25,0.832690852299,0.00248076674455,102.820154738,100.752007335,32.0361541323,631,631,558
26,0.83301320492,0.00237839342386,104.418740121,104.812028362,32.8347517187,632,632,558
27,0.835230123467,0.00224956446311,109.004755303,113.013211095,32.1483768194,620,620,558
28,0.834161591386,0.00201531932646,124.327520712,110.341144804,36.9267474673,613,613,558
29,0.83411946894,0.00214098946807,117.688825856,111.668901295,39.8918187326,629,629,576
30,0.833231158604,0.00197936696023,119.56426999,108.713393252,36.0609587231,635,635,585
31,0.834362495127,0.00213474274121,125.575634269,108.986500677,39.3043309383,662,662,613
32,0.830524022665,0.00194635006772,128.538000293,115.924964,37.0548172973,630,630,574
33,0.835410974052,0.00219142359451,130.338719196,127.082081635,40.8450882945,625,625,575
