gen,w_bar,w_var,k1_var,k2_var,f_var,numk1,numk2,numf
0,0.718245172579,0.000591601411119,3553784.90867,3949975.62235,1146133.62175,638,638,304
1,0.707244424795,0.000775389558844,7732250.14098,8650268.4945,2480898.84354,637,637,394
2,0.70158624911,0.00096177719332,11621905.6261,12827263.87,4087754.50266,620,620,416
3,0.697751125712,0.00102740047845,13813063.7051,16425665.174,4915926.69098,630,630,442
4,0.693583870573,0.00104843253796,18466003.2641,20057074.2322,6427229.07207,622,622,481
5,0.690894200622,0.00111272957454,22052072.1403,24261857.6574,8005524.84051,622,622,480
6,0.68969612297,0.00106307011621,26868856.5549,27204141.2702,8891118.83608,633,633,498
7,0.689417028193,0.00117408596874,30315585.8275,29069658.0612,9349735.81966,649,649,519
8,0.68835981342,0.00119070692968,32204580.366,34798083.1819,10557654.3432,629,629,488
9,0.687751446377,0.00114671960798,35901074.4495,39372680.6482,12211726.2479,638,638,509
10,0.687496695508,0.00117058778406,39043967.2818,43161345.8139,13264292.873,616,616,480
11,0.687543041288,0.00125752302595,42398014.4613,46602889.7235,13475006.2996,628,628,491
12,0.686975577455,0.00121944588029,47650670.3655,52216529.5156,15702320.6453,640,640,506
13,0.687961191921,0.00130779810256,49761622.1392,57445161.849,16307059.8417,628,628,499
14,0.6885877891,0.00132329042527,52303415.1444,63231866.9427,17282769.7836,641,641,501
15,0.686994878273,0.00123621798659,58205153.6249,69929254.1633,17232117.8356,630,630,490
16,0.68696336076,0.00127530463122,54811651.2903,78053888.1654,18899128.1979,624,624,486
17,0.685663037224,0.0013298926366,52858999.2817,81974769.3628,20017905.9496,612,612,487
18,0.683376727813,0.00121521311545,60612227.2939,91808678.3617,20647957.445,625,625,506
19,0.684585511691,0.00135600895704,66148452.3551,98545642.319,21466251.6696,648,648,527
20,0.683001595309,0.00121533905933,69030338.9284,101740028.581,21765336.9919,637,637,520
21,0.684250119492,0.00130204207228,72760240.8522,102496728.392,22667620.7148,613,613,484
22,0.682281517905,0.00119719593933,72278178.2423,109353620.941,22697530.1275,631,631,509
23,0.68280555119,0.00152411970042,77580729.3861,118294661.467,23619519.2377,616,616,506
24,0.681436448195,0.00114743845072,87506550.1854,119653253.441,23336012.3876,622,622,515
25,0.683182669778,0.00125308970096,92282650.1871,125749474.58,21920891.5086,621,621,500
26,0.680961469208,0.00116964418162,100343780.465,133882330.665,21278318.7247,633,633,529
27,0.682076772939,0.00130211441222,109809083.419,142303552.313,23765068.8413,639,639,522
28,0.681262863922,0.00125779864825,120397974.727,149254093.435,22407711.7249,638,638,521
29,0.681568407278,0.00123277845021,114007158.003,152111763.82,20620548.8019,638,638,518
30,0.680662049039,0.00120825539263,119110573.342,161233564.109,20772335.6725,623,623,517
31,0.680477623925,0.00125562389653,124187701.586,156170957.992,21305217.0705,631,631,530
32,0.67977845203,0.00129841921345,131145997.339,157601624.006,23837047.4118,643,643,544
33,0.678014649856,0.00124272111729,129429991.695,168601936.126,28488598.1418,627,627,535
34,0.678521719644,0.00132080905231,125546529.452,166728342.725,31762458.9962,632,632,524
35,0.679821346066,0.0014016432433,139420449.82,166816892.27,31250121.4,613,613,492
36,0.679948872885,0.00137235997831,143231614.936,187963090.925,32410702.325,624,624,497
37,0.679450599312,0.00133365824012,142495650.355,195370543.463,34608014.8488,626,626,509
38,0.67905019802,0.00142551576262,147595992.696,191651305.37,35834759.6335,644,644,530
39,0.678078670771,0.00122002477996,151919746.19,186665754.983,33145864.3213,623,623,526
40,0.678132666997,0.0012674446916,141954629.537,183870201.557,35162110.8278,625,625,532
41,0.678642812551,0.00127726896866,142856161.142,188625037.799,34757134.854,639,639,538
42,0.678782427527,0.00132600961387,149262020.312,194910942.247,31250532.0217,648,648,535
43,0.678203979452,0.00134348737171,164373558.837,182411106.483,32611095.6752,632,632,528
44,0.679397155905,0.00139388022765,172665836.327,186438773.451,34488302.0393,641,641,529
45,0.679187629264,0.00131586847311,158291750.472,204436445.731,36798450.9718,619,619,512
46,0.6800244535,0.0014555932849,159686606.181,209727316.221,36468917.5603,642,642,533
47,0.680116789573,0.00123200353362,160948552.383,213606734.875,29410342.1731,634,634,520
48,0.680774721095,0.00140086623756,166044985.599,218671516.096,31977159.4074,632,632,523
49,0.681279855418,0.00138918040516,184092566.626,222521704.61,33399415.7357,631,631,511
50,0.683229007059,0.00143263679917,182784633.373,223774015.566,28091855.2875,642,642,514
51,0.680250949526,0.00124823881265,195126945.422,236434418.225,32643372.2703,636,636,516
52,0.67878755033,0.00125378907848,198455266.705,246078157.155,30400133.0762,637,637,526
53,0.678955889021,0.00135833500213,185670045.515,243757620.674,32015638.7917,625,625,517
54,0.680126616117,0.00133239397841,180188434.816,241761851.058,31327635.2816,629,629,529
55,0.679280042633,0.00126222963878,173606006.322,263106616.658,28248674.8753,647,647,537
56,0.681621177587,0.00135190993865,174413408.839,280747981.617,33751295.2612,631,631,510
57,0.681690004709,0.00133857017066,169615698.878,279064365.121,26932956.8462,631,631,517
58,0.67963481086,0.00128923148763,167820719.267,275118508.584,26958157.2876,645,645,525
59,0.681183683933,0.00122432034841,164311619.493,264475376.013,20649526.4952,620,620,518
60,0.680089305115,0.00115962591463,165275225.755,272362809.67,18792596.4215,615,615,523
61,0.68041237132,0.00125393650051,181426637.893,277481372.997,22492432.9392,630,630,537
62,0.67790891804,0.0012423067504,177466422.715,297475284.617,24018075.9809,633,633,530
63,0.678377338617,0.00112572942618,187270734.864,315576664.96,21582519.6099,629,629,524
64,0.680436408342,0.00152274124177,182555077.933,315301826.034,23880239.5148,652,652,541
65,0.679803693515,0.00115430953707,178644439.702,312799313.122,21182854.6715,621,621,521
66,0.681070652581,0.00117519612836,189397387.529,324735547.097,19709776.6305,648,648,548
67,0.67880965114,0.00112127387795,197303891.715,324490708.788,20021640.081,631,631,533
68,0.678626310171,0.00115158105161,202046703.733,317832255.551,19623843.4899,632,632,533
69,0.679140264001,0.00127894414224,209862635.768,315951764.98,22966007.5553,631,631,521
70,0.677956616036,0.00115467591517,216105344.192,322123466.762,22604402.7259,634,634,526
71,0.678643865935,0.00122867946,203991377.466,328831484.735,22602273.4449,635,635,526
72,0.678770783288,0.001417802202,224267924.558,323615087.878,22979003.7413,634,634,532
73,0.67928042975,0.00127358486507,229302563.918,324147434.456,25735424.5949,629,629,518
74,0.680187102277,0.00127984301728,252642423.764,325791994.473,25820982.636,639,639,521
75,0.679277112423,0.00120425077831,268403868.997,325253013.233,25707068.8547,638,638,537
76,0.679513852098,0.0012630329597,267529120.199,328929173.26,26656083.7255,636,636,525
77,0.680348231205,0.00128564087365,254219202.107,351090362.585,28042247.5542,635,635,517
78,0.680594813492,0.00129157171226,268245425.104,356991946.135,28845517.8017,636,636,501
79,0.681552545717,0.00125259124652,274233144.595,372899659.074,24768928.853,629,629,507
80,0.681651345306,0.00134184541887,287467958.976,358755154.147,24708678.0064,627,627,513
81,0.682998253054,0.00128195364093,296715356.484,353853833.63,25612169.6916,626,626,511
82,0.68287963104,0.00128834818161,298585674.156,359907573.176,25177624.9326,625,625,504
83,0.681663646475,0.0012424902997,298883196.28,363279062.989,23290115.0189,636,636,516
84,0.679174263601,0.00110675448415,306653176.951,339628636.176,24288311.9881,641,641,533
85,0.678238559017,0.00111420721205,286138579.981,346841001.078,23888338.2275,630,630,537
86,0.677589737208,0.00119674281285,303121449.996,335339631.718,24782701.9202,630,630,538
87,0.67964679455,0.00125073645548,314230116.913,344060532.59,22227470.4394,636,636,534
88,0.679885636449,0.0011815697598,314522103.802,350123250.278,21434820.6399,618,618,522
89,0.679302641081,0.0011957442151,319941814.839,355600539.349,24030984.429,637,637,527
90,0.680282937804,0.00135264161644,318669059.042,361353511.897,24340301.23,626,626,516
91,0.679498952768,0.00121247429048,313017609.207,368914226.863,20306483.3782,619,619,529
92,0.679682644917,0.00119317639226,296923030.787,380933368.253,21027236.5482,626,626,525
93,0.679733648539,0.00126070156966,277807973.986,369122802.653,21197176.9705,645,645,523
94,0.681012378729,0.00133394293606,265496910.976,389576564.945,22454879.52,636,636,528
95,0.680496781781,0.00122048578045,258812378.336,393369434.006,21990108.0602,649,649,540
96,0.679205549855,0.00125159418395,252973300.554,403217234.855,21829329.0622,631,631,528
97,0.678535693753,0.0011513157039,236548639.279,410549636.188,22180927.2584,632,632,525
98,0.678856005271,0.00121180854203,225499010.299,423378091.418,21478353.6995,630,630,524
99,0.678185800808,0.00116469052191,221913599.085,414261533.181,22535234.9323,650,650,542
100,0.679772802083,0.00127425607289,228273665.827,420875213.77,23312923.5504,617,617,516
101,0.677836168981,0.00118675003667,217523809.575,401280972.017,22020084.5796,633,633,521
102,0.679103186476,0.00127737629185,229342480.294,409948042.749,23750114.2139,618,618,522
103,0.677308268573,0.0011244437929,242331425.865,384046348.098,21393282.9082,633,633,545
104,0.6786080114,0.00119227328739,251860997.056,378592272.832,21738038.4595,647,647,541
105,0.679698262049,0.00128050116675,257908651.156,383304436.221,20048069.1521,644,644,535
106,0.681181015846,0.00127792794743,267872379.274,408469109.433,18206427.2961,623,623,512
107,0.678518535636,0.00109382701349,256847171.761,408404093.883,16054332.4898,626,626,528
108,0.678500024762,0.00105030285949,247651247.496,401914339.067,16240692.9854,633,633,537
109,0.680739243426,0.00127996751768,258151844.505,409131602.603,16472312.6516,618,618,515
110,0.682028565815,0.00115272159643,248732346.194,404145166.966,16435366.7637,626,626,518
111,0.681386905406,0.00115050035242,241171508.739,403242237.851,16285991.7242,639,639,531
112,0.681865562211,0.00123074628422,250237828.383,408683832.412,17274589.4196,635,635,521
113,0.680919737328,0.00122949188405,248082166.899,432846824.78,17142584.0652,640,640,529
114,0.681048746444,0.0012012020346,256272236.935,445412119.239,17234546.6164,622,622,525
115,0.680149009337,0.00124303687606,240776131.531,452344232.248,19215905.4978,626,626,506
116,0.679754344547,0.0011805435697,252364754.463,419995138.93,20530839.7044,637,637,530
117,0.68049605134,0.00124207576912,257461588.571,434083386.053,22454123.853,629,629,520
118,0.679668472733,0.00124622778385,255927976.536,412335157.528,25534461.9969,653,653,550
119,0.680506529174,0.00126632854666,258946625.333,416027234.747,25304109.1321,640,640,532
120,0.677113534469,0.00113893944973,279856642.766,417302355.565,25903363.3331,624,624,535
121,0.678487826166,0.00118937028189,283553813.317,422778602.139,25032227.5463,624,624,529
122,0.679032458936,0.00134711123574,287925059.207,426899635.591,25715936.4173,628,628,519
