gen,w_bar,w_var,k1_var,k2_var,f_var,numk1,numk2,numf
0,0.744861120293,0.000593204383642,41224.1436661,41984.4639617,12839.5836156,639,639,347
1,0.742662578953,0.000741998195609,88716.4418679,81041.8415485,30701.3208473,620,620,403
2,0.739029654364,0.000648662983633,133041.093297,118229.357917,49265.5632885,637,637,453
3,0.737389530139,0.000665607132371,166559.799423,168367.837178,64399.7219182,639,639,480
4,0.733325332287,0.000479233327542,214878.42652,226024.82766,75026.082118,635,635,475
5,0.734155355479,0.000616959035947,280910.972426,249346.316136,85033.3503361,639,639,488
6,0.734532566348,0.000669149073379,363701.56754,296101.388166,89420.3506633,626,626,472
7,0.733185393692,0.000630803657826,394866.006519,332324.467435,104037.24415,648,648,486
8,0.73254767471,0.00069675481315,419294.569042,368845.287348,128729.30854,642,642,508
9,0.730648679303,0.000577450665195,406640.70047,421285.327268,141058.20055,629,629,490
10,0.730155983695,0.000619894315432,490687.037105,453095.379411,147901.188229,616,616,495
11,0.729901790638,0.000756004540777,521563.66893,465210.121149,146629.092317,629,629,504
12,0.728086574269,0.000622620471079,589071.363266,498079.903011,159873.853731,631,631,508
13,0.726922556013,0.000550043469584,642460.551198,607443.997316,163313.239092,621,621,511
14,0.727161260742,0.00066313298293,677247.200715,680495.947759,170251.377333,645,645,545
15,0.726577681296,0.000578299230554,674516.81461,729982.618709,185448.693447,633,633,526
16,0.726144633023,0.000620806309027,739605.076526,811794.321359,198963.198292,651,651,547
17,0.727478744432,0.00108044896943,726157.536827,876284.096605,230033.415312,639,639,552
18,0.725927769618,0.000855173851141,781190.327044,862094.629733,252512.488023,648,648,558
19,0.724533882575,0.000634557865967,786565.571508,896136.700008,225967.160977,633,633,533
20,0.723666441261,0.000632011514585,854029.058052,936491.452235,245571.162835,632,632,524
21,0.722970541057,0.000718637278965,923257.380785,1030658.34275,282201.054104,646,646,542
22,0.720298220465,0.000599538440799,954950.809472,1113544.32303,307324.425379,630,630,528
