gen,w_bar,w_var,k1_var,k2_var,f_var,numk1,numk2,numf
0,0.716053469712,0.000639459001644,4158935.79475,4250996.88145,1300473.27165,640,640,311
1,0.708676421259,0.000895584869716,8188817.81545,8731688.90818,2380561.28374,638,638,394
2,0.703056835492,0.0010470466625,11986174.7579,11949217.3928,3862856.83886,617,617,411
3,0.700168643213,0.00101837437534,15504966.5423,17695333.4468,4658530.80842,631,631,441
4,0.697125938352,0.00112185732895,18239840.8756,21279828.0579,5898094.19418,634,634,471
5,0.695978101533,0.00102520159633,22410822.5649,23169317.3713,6774547.05302,635,635,459
6,0.693193939114,0.00114689782698,25180916.4871,25842089.5392,8430195.49406,625,625,477
7,0.69248399959,0.0011996967407,27682415.6087,29634746.4788,10270870.8257,624,624,466
8,0.688818855773,0.00120065137794,34031487.0988,32763104.3195,11221011.3743,621,621,475
9,0.687854157008,0.00114379920763,39030515.6562,35180177.1312,11260189.0262,623,623,488
10,0.689311283455,0.00124775826252,42397287.2414,42541024.3808,13850295.3844,632,632,482
11,0.687791570198,0.00126166356612,47974632.7901,47328240.167,13295648.1808,622,622,486
12,0.68800544573,0.00124016926935,53739990.9108,53445347.5761,13428014.8104,637,637,490
13,0.68793907722,0.00125189080524,56798309.9633,58051714.2101,14314062.0545,611,611,471
14,0.687099048047,0.0012252674828,63590278.5584,59486667.9175,14815799.2751,627,627,478
15,0.686986580301,0.00125828821059,67878549.721,65938526.7559,15501036.8264,634,634,503
16,0.685323697179,0.00121579696197,66557238.2414,67252874.8149,16876399.8751,642,642,521
17,0.683062270604,0.00106427395183,68084841.4611,73560257.504,15262438.0326,631,631,523
18,0.684345042843,0.0011387941703,74489146.6299,75244546.9843,16489885.0165,634,634,510
19,0.684259006176,0.00115194422823,78500933.8661,73926034.9808,17195611.5846,639,639,510
20,0.684636794921,0.00121475014483,80428530.6398,76668689.7601,17432318.9577,638,638,499
21,0.685027288598,0.00127607216202,84020538.0434,74581591.9767,18106714.7156,642,642,521
22,0.684320878467,0.0012838583588,88272305.4457,74829188.6311,18724792.5336,636,636,515
23,0.684366381831,0.00126619511391,93036780.8524,83655712.2527,18290430.9551,637,637,513
24,0.683964995394,0.00125062314653,95099958.4433,81755063.0927,17571619.6015,640,640,511
25,0.682341011242,0.00129087952205,95551140.4599,86034848.2779,18413393.3398,610,610,491
26,0.682509541341,0.00132140856265,98559216.4069,92533024.568,20615481.9891,641,641,537
27,0.680431928809,0.00117242147618,108439474.475,96049822.9206,19944153.6677,644,644,535
28,0.679483452369,0.00115340884717,114623160.837,99344400.6631,19579155.232,614,614,512
29,0.67849929168,0.00106251551037,112242015.786,101307666.865,17704252.0358,626,626,535
30,0.678233019521,0.00117396703942,112980491.7,108611088.35,19596968.2876,623,623,531
