gen,w_bar,w_var,k1_var,k2_var,f_var,mean_k1,mean_k2,mean_f
0,0.999999917847,3.77483858634e-15,387.560970864,326.294561466,0.0,9999999.4419,99999997.9416,10
1,0.999999882497,8.14241007514e-15,815.921653538,685.467944795,0.0,10000000.298,99999997.8019,10
2,0.999999852368,1.16815275244e-14,1239.39845221,1080.90276867,0.0,10000000.3356,99999995.9495,10
3,0.99999983212,1.46840618189e-14,1591.33747613,1503.72331751,0.0,10000001.508,99999998.0565,10
4,0.999999815737,1.71092061884e-14,1877.44761538,1846.16639144,0.0,10000004.2634,99999996.529,10
5,0.99999980574,2.03101150479e-14,2142.31329217,2203.62477724,0.0,10000005.4044,99999993.8643,10
6,0.999999789917,2.41922033013e-14,2517.28089485,2675.943033,0.0,10000003.2344,99999995.1462,10
7,0.999999775263,2.75428767761e-14,2901.36296791,3035.15172264,0.0,10000001.6851,99999994.8739,10
8,0.999999760648,3.36062099663e-14,3374.01719824,3552.67173936,0.0,10000003.6898,99999994.9296,10
9,0.999999744384,3.50211891857e-14,3726.90913405,3851.91388942,0.0,10000005.2438,99999994.5638,10
10,0.999999728066,4.159735174e-14,4324.26870748,4351.90378264,0.0,10000003.9511,99999995.6374,10
11,0.999999714136,4.66929800805e-14,4849.58957094,5276.79500565,0.0,10000000.0401,99999993.2299,10
12,0.999999708044,5.29521447439e-14,5177.40032535,5882.19604547,0.0,9999997.93914,99999994.885,10
13,0.999999696391,5.30342838754e-14,5471.73201615,5963.73899615,0.0,10000001.5879,99999991.0892,10
14,0.999999680408,6.06114126565e-14,6126.57384766,5907.90389424,0.0,9999998.73137,99999992.1851,10
15,0.999999658382,6.81837234265e-14,6973.41041877,6109.89465593,0.0,9999997.76158,99999994.7326,10
16,0.999999658175,7.04065486189e-14,7015.59098448,6582.14790699,0.0,10000001.5788,99999994.8094,10
17,0.999999636605,7.9194346838e-14,7961.43659083,6751.89628711,0.0,10000001.6003,99999992.3682,10
18,0.999999615961,9.16650901605e-14,8883.97213999,7332.19075961,0.0,10000005.1122,99999992.8877,10
19,0.999999606028,8.84995043298e-14,9058.87991611,7934.42788979,0.0,10000003.0785,99999995.6104,10
20,0.999999596219,9.67022690567e-14,9612.11376993,7732.26543824,0.0,10000007.1245,99999993.8991,10
21,0.999999573031,1.09533904801e-13,10837.9502038,8407.66564683,0.0,10000005.3774,99999993.0928,10
22,0.999999572956,1.04380702697e-13,10661.7681982,9363.40564655,0.0,10000003.1314,99999993.4233,10
23,0.999999575605,1.00662123084e-13,10461.2602518,9577.34275464,0.0,10000001.8218,99999994.4293,10
24,0.999999562267,1.05953554718e-13,11117.448687,10317.5618612,0.0,10000003.3844,99999996.479,10
25,0.999999555188,1.13466095358e-13,11541.3626805,11218.1098875,0.0,10000007.9199,99999995.3748,10
26,0.999999546074,1.2716333663e-13,12331.7350058,11421.1425779,0.0,10000008.375,99999999.0477,10
