gen,w_bar,w_var,k1_var,k2_var,f_var,mean_k1,mean_k2,mean_f
0,0.999999928957,2.78049479302e-15,387.080896944,397.052785261,0.0,10000000.3825,100000000.432,1
1,0.99999989205,6.10033293108e-15,882.869931221,756.40406856,0.0,10000000.5166,99999999.1599,1
2,0.999999873859,7.90331950519e-15,1184.09928812,1194.43629441,0.0,9999999.75681,99999998.6391,1
3,0.999999852622,1.17139439349e-14,1660.80949834,1536.28558773,0.0,9999998.64351,99999998.1093,1
4,0.999999833796,1.51448024777e-14,2122.2896781,2000.92713346,0.0,9999998.86449,99999998.9053,1
5,0.999999820775,1.85058815837e-14,2522.5613431,2318.61484521,0.0,10000000.5366,99999997.9446,1
6,0.999999808321,2.16657193676e-14,2895.334433,2659.82505248,0.0,9999999.12151,99999994.3606,1
7,0.999999782519,2.42750821678e-14,3541.32114205,3127.95888675,0.0,9999995.78742,99999992.139,1
8,0.999999772041,2.64113495278e-14,3864.01842466,3176.54537535,0.0,9999996.4924,99999989.3671,1
9,0.999999769737,3.04270578887e-14,4066.33779561,3494.54924514,0.0,9999993.39178,99999986.9789,1
10,0.999999761803,3.24388611814e-14,4300.12986542,3783.20226413,0.0,9999991.26864,99999988.2165,1
11,0.999999748659,3.58047101397e-14,4803.29807107,4234.51461198,0.0,9999990.13293,99999991.2556,1
12,0.999999741854,3.90364226419e-14,5180.28460071,4648.59784456,0.0,9999992.3875,99999992.3683,1
13,0.999999736928,4.26471378942e-14,5411.50194194,5272.07497466,0.0,9999989.88714,99999995.158,1
14,0.999999730275,4.87151907579e-14,5711.27145545,5946.84876521,0.0,9999984.52965,99999997.8848,1
15,0.999999711831,4.88138412627e-14,6208.99858841,7148.38787944,0.0,9999984.59787,99999995.1946,1
16,0.999999714158,4.72965901415e-14,6119.53309152,7367.67765834,0.0,9999986.18377,99999994.8783,1
17,0.999999699489,4.92053219495e-14,6593.56424411,7750.87133369,0.0,9999985.04938,99999995.4172,1
18,0.999999692048,5.42714297873e-14,7166.57431825,8093.96546769,0.0,9999987.62035,99999999.0139,1
19,0.999999687037,5.27528941248e-14,7205.8321477,8155.33901166,0.0,9999987.66455,99999993.9947,1
20,0.999999689182,5.35216335348e-14,7128.93587324,8528.98021029,0.0,9999986.86137,99999996.6856,1
21,0.999999682186,5.24494710129e-14,7306.91015795,9070.55800377,0.0,9999988.67766,99999991.7408,1
22,0.999999664526,5.72022982816e-14,7990.98877463,10016.2467335,0.0,9999983.69837,99999990.9345,1
23,0.999999643728,6.97590513767e-14,9136.05835825,11040.7485761,0.0,9999978.95316,99999988.7053,1
24,0.999999629668,7.42276866987e-14,9503.43360637,11392.0811623,0.0,9999971.31219,99999991.489,1
25,0.999999614197,7.78246936339e-14,9956.20418225,12136.7765034,0.0,9999966.95956,99999995.3636,1
26,0.999999596368,8.1177023839e-14,10738.7494847,13324.2866212,0.0,9999966.78907,99999998.8877,1
27,0.999999603752,8.55790022834e-14,10843.5169248,13855.0042714,0.0,9999968.60221,100000001.623,1
28,0.999999610939,8.16092448625e-14,10446.8710294,15538.8930889,0.0,9999970.00203,100000000.238,1
29,0.999999594908,8.64820413965e-14,11440.8820495,17146.5927645,0.0,9999971.48159,99999997.7004,1
30,0.999999576341,9.08052420856e-14,12618.701466,17717.9692708,0.0,9999976.03681,99999995.7052,1
31,0.999999584184,9.30662412695e-14,12708.310579,17834.6613438,0.0,9999982.25801,99999997.3449,1
32,0.999999580486,9.74895083839e-14,13088.3913611,17499.5280146,0.0,9999981.65733,99999989.3674,1
33,0.999999577778,9.21486991488e-14,12779.0150695,19556.987416,0.0,9999978.8955,99999993.7237,1
34,0.999999575261,9.70294761485e-14,12937.8530527,19327.298856,0.0,9999973.85644,99999999.7261,1
35,0.999999549009,1.00756568463e-13,14614.7226286,19416.0565179,0.0,9999983.6108,99999997.1254,1
36,0.999999532918,1.05481940604e-13,15728.5937916,20214.4012519,0.0,9999986.02939,100000009.738,1
37,0.999999520974,1.06479062158e-13,16072.6573056,21392.1678697,0.0,9999980.02569,100000002.789,1
38,0.999999527629,1.06502088641e-13,15747.8483517,22813.5112645,0.0,9999979.74464,100000004.304,1
39,0.999999488315,1.2522435504e-13,18735.6513159,20982.9360641,0.0,9999985.98606,100000003.038,1
40,0.999999491429,1.16542500049e-13,18192.9692991,19929.3841191,0.0,9999985.03076,100000001.672,1
41,0.999999491055,1.09660510807e-13,17846.8696812,19886.733123,0.0,9999984.57979,99999999.3056,1
42,0.999999508344,1.00737156524e-13,16500.3724874,21053.4608742,0.0,9999982.74456,99999995.4261,1
43,0.999999517531,9.86862582296e-14,15743.7910065,21293.9493262,0.0,9999976.14514,100000002.851,1
44,0.999999521776,9.73098455261e-14,15356.8151983,21310.9294544,0.0,9999974.36389,100000001.043,1
45,0.999999539127,9.93793304467e-14,14960.8038044,21175.9793525,0.0,9999978.39156,100000008.146,1
46,0.999999537419,9.58156651859e-14,14722.4888451,22407.973786,0.0,9999973.60891,100000007.504,1
47,0.999999529814,9.75240823579e-14,14966.9119046,22874.8132921,0.0,9999969.71633,100000006.709,1
48,0.999999529337,1.1454094996e-13,16030.0242328,23494.6910141,0.0,9999975.67266,100000005.158,1
49,0.999999507448,1.20406873128e-13,17509.3595125,21811.8633338,0.0,9999980.10027,100000003.352,1
50,0.999999486842,1.21166791035e-13,18218.9243159,21612.4768556,0.0,9999972.57748,100000006.046,1
51,0.999999474259,1.21438291598e-13,18846.5587825,22869.5611701,0.0,9999972.09904,100000008.282,1
52,0.999999478557,1.2339518545e-13,18955.2493547,22652.2334835,0.0,9999974.87894,100000016.893,1
53,0.999999475019,1.25226569901e-13,19320.8799271,23065.6021841,0.0,9999976.16942,100000004.51,1
