gen,w_bar,w_var,k1_var,k2_var,f_var,mean_k1,mean_k2,mean_f
0,0.999999901575,5.14277073242e-15,385.773147452,406.457773142,0.0,9999999.57625,99999999.9632,1000
1,0.999999861585,1.09030089296e-14,782.050853331,766.460554532,0.0,9999999.26191,99999998.3536,1000
2,0.999999830921,1.5418668073e-14,1135.97840334,1192.92358218,0.0,9999997.09734,99999997.5666,1000
3,0.999999807011,2.12447948895e-14,1522.99475838,1461.43382107,0.0,9999995.98808,99999998.6852,1000
4,0.999999788576,2.53917135459e-14,1819.60681696,1746.96883122,0.0,9999995.78941,99999998.5341,1000
5,0.99999976745,3.17369046972e-14,2195.92236661,2292.38718156,0.0,9999995.28155,99999996.8572,1000
6,0.999999744032,3.47428582294e-14,2574.2054992,2728.59564515,0.0,9999995.19513,99999997.8319,1000
7,0.99999970982,4.42092216839e-14,3317.21787404,3488.11110612,0.0,9999995.69455,99999996.5949,1000
8,0.999999693212,5.33484829826e-14,3792.47557713,3856.24997887,0.0,9999993.46912,99999995.8643,1000
9,0.999999675574,6.19303764493e-14,4270.29591004,4412.64619673,0.0,9999993.28888,99999997.2688,1000
10,0.999999673473,6.31822559425e-14,4292.77813332,4934.06477054,0.0,9999988.2155,99999999.204,1000
11,0.999999661048,6.3502040797e-14,4643.50227108,5846.52743119,0.0,9999992.91988,99999994.2391,1000
12,0.999999637853,6.53725182698e-14,5107.05795064,6249.43162438,0.0,9999995.76334,99999994.8266,1000
13,0.999999616984,6.88956341976e-14,5672.43707908,6547.8020589,0.0,9999997.25628,99999989.3955,1000
14,0.999999601186,7.88870087918e-14,6261.9108715,6781.73005913,0.0,9999997.73659,99999990.9112,1000
15,0.999999589635,8.80163800951e-14,6619.7100129,7660.44963847,0.0,9999993.74833,99999991.3211,1000
16,0.999999597722,8.86023515029e-14,6454.44886529,7728.33378932,0.0,9999992.57644,99999991.11,1000
17,0.999999591361,9.52456173407e-14,6717.08513685,7595.74862268,0.0,9999992.3904,99999987.9051,1000
18,0.999999583702,1.01819896675e-13,7081.08794098,7851.64787506,0.0,9999992.18635,99999988.7006,1000
19,0.999999579728,1.06371556928e-13,7317.12530529,7439.0461761,0.0,9999992.28714,99999988.3257,1000
20,0.999999564043,1.15037796357e-13,7895.37256579,7870.11394238,0.0,9999993.69525,99999986.3114,1000
21,0.999999555207,1.19704989737e-13,8195.36020661,8290.12721017,0.0,9999990.10416,99999984.2329,1000
22,0.999999556992,1.16511487826e-13,8049.66288655,8718.05772248,0.0,9999988.17573,99999986.1875,1000
23,0.999999550355,1.24367645446e-13,8345.44824843,8740.79433323,0.0,9999988.15915,99999984.6632,1000
24,0.999999545878,1.21395097442e-13,8280.87582634,9326.16919791,0.0,9999985.47376,99999987.7462,1000
25,0.999999539669,1.23401063383e-13,8606.54726297,10356.066548,0.0,9999989.17179,99999986.6097,1000
26,0.999999515907,1.33495616362e-13,9324.19542293,10522.6296476,0.0,9999986.43096,99999985.4193,1000
27,0.999999501315,1.41588099769e-13,9762.25402047,10463.8570441,0.0,9999981.82649,99999983.2738,1000
28,0.999999484196,1.53095796334e-13,10684.9803158,10398.5523965,0.0,9999984.45863,99999981.4782,1000
29,0.999999468725,1.59642094343e-13,11253.4093941,10971.2529677,0.0,9999986.92412,99999978.7777,1000
30,0.999999451465,1.63247261614e-13,11809.0873585,10916.151091,0.0,9999987.56402,99999979.1297,1000
31,0.999999448676,1.66838530435e-13,11985.2898993,11399.6217216,0.0,9999988.06842,99999984.6219,1000
32,0.999999430742,1.87934974635e-13,13024.1264389,12615.6901296,0.0,9999989.82714,99999988.6159,1000
33,0.999999422063,1.82007895032e-13,13174.2171788,13117.8293139,0.0,9999991.03119,99999989.2445,1000
34,0.999999388506,2.12416878633e-13,14973.5744823,12549.1599846,0.0,9999993.63318,99999982.9406,1000
35,0.999999373259,2.19273420594e-13,15697.988269,13028.6645021,0.0,9999996.57198,99999986.339,1000
36,0.999999373579,2.19218657153e-13,15898.4089301,13461.7521531,0.0,9999998.99029,99999988.1763,1000
37,0.99999936349,2.25029819465e-13,16416.6655518,14467.6266963,0.0,9999999.13147,99999989.7853,1000
38,0.999999333005,2.43343918104e-13,17925.71898,13642.6783946,0.0,9999998.78499,99999986.7207,1000
39,0.99999932699,2.43665245376e-13,18161.6511433,14028.2798937,0.0,10000004.0025,99999991.5603,1000
40,0.999999319344,2.42997555001e-13,18145.8666554,14493.9781162,0.0,9999993.42002,99999990.1254,1000
41,0.999999325922,2.35614210914e-13,17942.3593712,13863.938986,0.0,9999995.72744,99999987.0821,1000
42,0.999999297646,2.76640409724e-13,19893.970682,14375.6023092,0.0,9999992.53981,99999981.7666,1000
