gen,w_bar,w_var,k1_var,k2_var,f_var,mean_k1,mean_k2,mean_f
0,0.999999934431,2.47680908646e-15,381.494918916,380.880554148,1.92592994439e-34,9999999.01838,100000001.9,0.1
1,0.999999905021,4.87417212888e-15,786.120880828,745.265065724,1.92592994439e-34,9999999.65883,99999999.7385,0.1
2,0.999999883339,7.83674345111e-15,1216.98168617,1131.15108682,1.92592994439e-34,10000000.0734,100000000.757,0.1
3,0.99999986878,1.09687659793e-14,1602.38133212,1475.73030827,1.92592994439e-34,9999999.74601,99999998.4121,0.1
4,0.999999855779,1.25764736834e-14,1899.34466138,1837.46541914,1.92592994439e-34,9999998.91882,100000000.958,0.1
5,0.99999984806,1.37418027567e-14,2089.93305768,2048.0849196,1.92592994439e-34,9999998.93459,99999999.9255,0.1
6,0.999999839617,1.56612909694e-14,2335.45017546,2544.06749567,1.92592994439e-34,9999997.8461,100000001.071,0.1
7,0.999999828304,1.70806425184e-14,2629.95346016,2991.87972778,1.92592994439e-34,9999997.19522,99999999.5123,0.1
8,0.999999822793,1.88109268573e-14,2834.40183412,3302.96631749,1.92592994439e-34,9999996.08435,100000001.44,0.1
9,0.999999813152,2.12846365869e-14,3158.5663356,3642.39127242,1.92592994439e-34,9999995.2883,100000001.135,0.1
10,0.999999793162,2.65365152001e-14,3901.01167357,4056.12985911,1.92592994439e-34,9999994.99665,100000004.418,0.1
11,0.999999789645,2.88077207223e-14,4122.1014562,4516.52489218,1.92592994439e-34,9999997.62383,100000006.006,0.1
12,0.999999770633,3.41020388777e-14,4888.18196737,4789.07732785,1.92592994439e-34,9999996.67741,100000007.697,0.1
13,0.999999778847,3.16017581857e-14,4530.78363103,5454.31392551,1.92592994439e-34,9999997.3963,100000008.489,0.1
14,0.99999977084,3.50852450613e-14,4919.31342193,5892.59977324,1.92592994439e-34,9999997.77244,100000008.371,0.1
15,0.999999751697,4.02277368162e-14,5721.07492705,6423.51042236,1.92592994439e-34,9999999.61897,100000006.898,0.1
16,0.99999973424,4.11645044479e-14,6299.09262289,5871.40651519,1.92592994439e-34,10000000.5455,100000006.495,0.1
17,0.999999721441,4.5319696865e-14,6897.1889218,6459.47919274,1.92592994439e-34,9999997.99133,100000010.512,0.1
