gen,w_bar,w_var,k1_var,k2_var,f_var,mean_k1,mean_k2,mean_f
70,0.999999164401,3.81753779546e-13,30621.3413478,35777.5811246,0.0,10000017.3864,100000023.566,100
71,0.999999161917,3.93642976525e-13,31169.80445,38086.415941,0.0,10000017.6497,100000033.103,100
72,0.999999141947,3.83396522265e-13,31924.6924881,40736.4425916,0.0,10000017.7509,100000030.795,100
73,0.999999150387,3.69522051265e-13,30871.0130914,38734.9587718,0.0,10000019.3143,100000043.36,100
74,0.999999131836,3.98804859368e-13,32478.0188709,40977.0898435,0.0,10000014.5487,100000047.834,100
75,0.99999913199,4.0255619456e-13,32683.119597,38910.7412797,0.0,10000015.0361,100000047.432,100
76,0.999999129383,4.15952173817e-13,33446.0920094,39556.90487,0.0,10000010.346,100000058.374,100
77,0.999999146992,3.75734862223e-13,31799.1833601,39345.3406986,0.0,10000000.9041,100000055.313,100
78,0.999999142588,3.87050165891e-13,32529.8897317,40128.5326338,0.0,9999999.26777,100000047.943,100
79,0.999999129478,3.95647063416e-13,33598.880402,40100.1213126,0.0,9999994.07298,100000055.148,100
80,0.999999121767,4.17071251923e-13,34325.2301963,42464.0730046,0.0,10000002.2555,100000055.716,100
81,0.999999125482,4.5103375424e-13,34860.4120258,41920.1295999,0.0,10000003.1926,100000060.386,100
82,0.999999119217,4.49858049619e-13,34907.8844785,42078.7180508,0.0,10000004.1405,100000054.433,100
83,0.999999139769,4.32987132457e-13,33534.3395772,41814.0739122,0.0,10000012.2572,100000056.842,100
84,0.999999130757,4.09725728621e-13,33697.5812668,42673.1747243,0.0,10000003.6861,100000067.523,100
85,0.999999130283,3.97423785792e-13,33077.5819214,41945.9495972,0.0,10000010.7575,100000065.254,100
86,0.999999144736,4.10875637095e-13,33054.7488964,42608.6674688,0.0,10000007.8491,100000074.166,100
87,0.999999138465,4.23673136934e-13,33410.7971752,44350.3648493,0.0,10000010.2475,100000077.081,100
88,0.999999117309,4.15664185962e-13,34877.0613011,45474.3687508,0.0,10000005.4151,100000067.125,100
89,0.999999096952,4.28421619912e-13,36130.5609932,44728.4667429,0.0,10000003.5007,100000070.533,100
90,0.999999105407,3.81733104617e-13,34364.7409461,44127.3702583,0.0,9999999.92054,100000072.981,100
91,0.999999098432,4.16520993161e-13,35791.3421103,42751.1680641,0.0,10000001.596,100000076.014,100
92,0.999999123215,3.87726776886e-13,33364.4088757,44339.9481515,0.0,10000004.327,100000080.624,100
93,0.999999094217,4.07772459347e-13,35306.5284249,43338.619193,0.0,10000006.476,100000086.265,100
94,0.999999091971,4.07647679029e-13,35361.7352918,45033.4106404,0.0,10000000.215,100000092.115,100
95,0.999999097438,4.15706498027e-13,35127.3385531,48007.6238694,0.0,10000008.7851,100000100.074,100
96,0.999999113679,3.79921296896e-13,33790.2199345,46347.5723437,0.0,10000003.6773,100000113.367,100
97,0.999999135682,3.81811377263e-13,32871.2906166,48297.9154351,0.0,10000003.9702,100000097.829,100
98,0.99999915058,4.02372393937e-13,32478.2369423,46133.3401262,0.0,10000006.887,100000111.069,100
99,0.999999108759,4.56442282756e-13,36342.2178496,46203.2305291,0.0,10000004.4946,100000118.846,100
100,0.999999116875,4.18642316516e-13,35069.4589781,45462.9579849,0.0,10000005.2791,100000118.156,100
101,0.99999909434,4.28967558163e-13,36200.0541035,47245.1754014,0.0,10000016.7708,100000117.572,100
102,0.999999067288,4.85537554636e-13,38203.8956796,49974.2016439,0.0,10000034.8229,100000114.428,100
103,0.999999070678,4.49452117456e-13,37538.5264606,51700.2831034,0.0,10000028.9376,100000114.959,100
104,0.999999032123,5.00931987243e-13,39985.621862,48206.02687,0.0,10000037.7461,100000103.716,100
105,0.999999045531,4.61793449347e-13,38648.1472439,42867.9921358,0.0,10000031.3163,100000109.049,100
106,0.999999037786,4.49788122961e-13,39425.2232217,41862.2772434,0.0,10000025.199,100000116.436,100
107,0.999999061797,4.39563952733e-13,37971.4575109,40625.7697921,0.0,10000026.4605,100000116.287,100
108,0.999999071497,4.24623345971e-13,36982.7919981,41915.6533409,0.0,10000025.3703,100000120.023,100
109,0.999999030583,4.66146165595e-13,39899.8175458,43242.1677067,0.0,10000032.9102,100000121.259,100
110,0.999999039984,4.331669883e-13,38953.8542254,41773.2295591,0.0,10000026.5394,100000121.318,100
111,0.999999016489,4.60546665805e-13,41473.4054834,40338.1162548,0.0,10000025.7202,100000115.258,100
112,0.999999024522,4.8983018442e-13,41649.2432126,40849.1416936,0.0,10000027.4443,100000119.363,100
113,0.999999018676,5.56517215071e-13,42730.1260118,40120.5508136,0.0,10000034.9621,100000119.491,100
114,0.99999902406,6.1183802298e-13,44460.8314674,41874.965815,0.0,10000029.9121,100000115.862,100
115,0.999999012265,5.95792592803e-13,45389.0291377,44383.5392033,0.0,10000020.2403,100000117.99,100
116,0.999999000405,5.89716997863e-13,46533.5943077,48084.0492526,0.0,10000007.4151,100000115.927,100
117,0.999998981292,6.284817157e-13,48915.6497979,48013.9505076,0.0,10000008.1268,100000115.22,100
118,0.999998997979,5.79663869375e-13,46965.6849031,47887.1051952,0.0,10000006.5254,100000104.839,100
119,0.99999898,5.84524018493e-13,48139.1101473,49384.2918613,0.0,10000007.0994,100000095.455,100
120,0.999999001325,5.5975704392e-13,46193.9379248,46310.9698379,0.0,10000001.547,100000101.809,100
121,0.999998979843,6.41020048143e-13,49352.943678,47347.3454646,0.0,10000007.7106,100000100.39,100
122,0.999998987681,6.6405787524e-13,48800.2352605,47835.434955,0.0,10000020.0914,100000107.668,100
123,0.999999021143,6.71781868461e-13,46496.3265657,46049.8005731,0.0,10000019.8157,100000099.71,100
124,0.999998988877,6.79871654139e-13,48559.0626772,50222.8443128,0.0,10000020.147,100000101.905,100
125,0.999999011186,7.07594640286e-13,48660.1397876,51730.1092397,0.0,10000009.0744,100000104.833,100
126,0.999998987638,7.65077454751e-13,51631.4498126,51519.9063586,0.0,10000009.5993,100000105.556,100
127,0.99999898154,7.57133637801e-13,51188.1537405,54833.9736706,0.0,10000018.0614,100000087.099,100
128,0.999998953008,7.8693326846e-13,53215.7521278,59015.49336,0.0,10000023.1828,100000086.009,100
129,0.999998941901,8.28791560444e-13,55265.2576489,62277.7865796,0.0,10000018.3995,100000094.014,100
130,0.999998942497,8.29535623414e-13,55468.7630649,64016.978472,0.0,10000008.8857,100000089.954,100
131,0.999998950415,7.88110987801e-13,54436.3474181,64512.6247149,0.0,10000006.2327,100000076.519,100
132,0.999998991618,7.28058861166e-13,50035.8189043,62667.3799911,0.0,10000004.5763,100000083.644,100
133,0.999999036585,7.36563321604e-13,47347.736149,62040.5136957,0.0,10000005.8605,100000086.72,100
134,0.999999051103,7.33534245008e-13,47224.8695761,63609.3597432,0.0,9999996.81815,100000084.155,100
135,0.999999043034,7.5641734199e-13,47557.3084314,62005.4215967,0.0,10000007.0902,100000097.975,100
136,0.999999009792,9.03467533087e-13,52812.1571125,65613.5980516,0.0,10000026.718,100000102.301,100
137,0.999999040589,8.71389836695e-13,50640.0495484,64835.9510323,0.0,10000019.1416,100000095.075,100
138,0.999999059291,8.25346924754e-13,49146.478225,61323.1504365,0.0,10000002.3978,100000097.524,100
139,0.999999094168,7.90881637688e-13,46033.15543,60199.765871,0.0,10000005.8077,100000114.707,100
140,0.999999063191,8.58281122609e-13,49151.4109524,60244.9543797,0.0,10000017.5536,100000123.52,100
141,0.999999060385,8.32969301011e-13,48398.6987231,62686.1952407,0.0,10000022.7488,100000108.797,100
142,0.999999087455,7.9707792873e-13,45814.0480239,60715.9660157,0.0,10000028.3632,100000107.259,100
143,0.999999083023,8.4922548346e-13,46838.8688628,61204.6559507,0.0,10000036.7727,100000111.456,100
144,0.999999058546,8.98353400328e-13,49105.5791586,58941.0951115,0.0,10000039.1124,100000116.388,100
145,0.999999026515,9.349660579e-13,52309.8853833,65557.1699003,0.0,10000039.0868,100000099.533,100
146,0.999999095655,6.96813180029e-13,42985.6131401,71144.9720862,0.0,10000028.2773,100000082.728,100
147,0.99999907927,7.57021336128e-13,45354.4836486,65866.9040722,0.0,10000027.551,100000082.405,100
148,0.999999096949,7.4194645033e-13,44056.4958236,63165.7932693,0.0,10000027.7584,100000078.463,100
149,0.999999137575,5.98319808285e-13,38725.8348073,63943.7565524,0.0,10000020.9258,100000072.408,100
150,0.999999150215,5.94258598198e-13,38942.7148587,66601.6490562,0.0,10000015.6218,100000059.353,100
151,0.999999137806,6.36889655715e-13,40460.5144791,64304.1406366,0.0,10000020.9562,100000071.393,100
