gen,w_bar,w_var,k1_var,k2_var,f_var,mean_k1,mean_k2,mean_f
0,0.99999991476,4.14933628422e-15,422.026321606,404.757774608,0.0,10000000.4078,99999999.8566,10
1,0.999999876823,7.90915489246e-15,850.691890803,830.215264264,0.0,10000001.9483,100000002.212,10
2,0.999999856036,1.29603267444e-14,1239.99632296,1210.76562395,0.0,10000003.2125,100000002.235,10
3,0.999999836536,1.60616263464e-14,1552.76498947,1595.39891511,0.0,10000003.3715,100000002.473,10
4,0.999999818579,1.91195760375e-14,1931.50474792,1778.17211099,0.0,10000001.1496,100000002.564,10
5,0.999999797052,2.3206330608e-14,2376.37630465,2210.56902119,0.0,9999995.66315,100000002.29,10
6,0.999999777299,2.57502914379e-14,2783.82697075,2635.19477132,0.0,9999996.30876,100000000.989,10
7,0.999999767887,2.84375992885e-14,3023.120184,3038.87051205,0.0,9999997.3308,99999999.6599,10
8,0.99999975644,2.99149067048e-14,3287.00098279,3426.59674463,0.0,9999997.02027,100000001.405,10
9,0.999999745959,3.49026968619e-14,3669.3118032,3901.77975656,0.0,9999999.0494,100000003.793,10
10,0.99999972996,4.18326109648e-14,4255.29317353,3992.45100013,0.0,10000002.5102,100000004.688,10
11,0.99999970533,4.37115365127e-14,4836.39421911,4342.23586099,0.0,10000000.9734,100000002.469,10
12,0.999999700673,4.59817303751e-14,5015.88182788,4608.23289141,0.0,10000002.4601,100000002.648,10
13,0.999999697339,4.64768292002e-14,5110.41748419,5010.88243164,0.0,10000002.7265,100000005.855,10
14,0.999999698144,4.89973031206e-14,5115.44401947,4967.77345038,0.0,10000002.6053,100000001.763,10
15,0.999999687526,5.65760872518e-14,5558.60743458,5329.10277953,0.0,10000003.8222,100000003.635,10
16,0.999999693707,5.63408175394e-14,5490.3642903,6062.902091,0.0,10000001.6996,99999996.2768,10
17,0.999999680586,6.69608144123e-14,6164.68483586,6655.44443044,0.0,10000003.6319,99999991.7875,10
18,0.999999654384,7.45769635645e-14,7036.60583586,6726.36766803,0.0,9999999.74806,99999991.1033,10
19,0.999999650753,8.79583570188e-14,7663.78604702,7542.36965226,0.0,9999997.57524,99999991.5526,10
20,0.999999646837,8.4914768818e-14,7746.83649565,7497.03875339,0.0,9999997.37104,99999992.8442,10
21,0.999999639623,8.95546191295e-14,8050.43436202,7616.50374184,0.0,9999995.45113,99999994.2981,10
22,0.999999633557,9.05856890984e-14,8228.9800414,7930.84489976,0.0,9999993.02108,99999994.6341,10
23,0.999999609624,1.02850975573e-13,9295.88305929,7536.11801857,0.0,9999991.08268,100000002.523,10
24,0.999999587572,1.08471444437e-13,10100.2423651,7848.31035308,0.0,9999991.2396,100000004.829,10
25,0.999999586494,1.06647300787e-13,9983.88287278,8142.02761907,0.0,9999987.68905,100000005.661,10
26,0.999999580274,1.08236145709e-13,10147.6534674,8675.2190814,0.0,9999983.72127,100000003.55,10
27,0.999999578316,1.03087385747e-13,9979.89475454,9370.87159435,0.0,9999981.62583,100000003.426,10
28,0.999999571486,9.71395063857e-14,10082.3089974,9699.45435042,0.0,9999985.82266,100000001.883,10
29,0.999999594364,8.79999823963e-14,8852.15804752,10698.9663012,0.0,9999979.82684,100000002.218,10
30,0.999999592846,8.77576827274e-14,8985.73321987,11009.9471354,0.0,9999981.34066,100000009.006,10
31,0.99999959766,8.54930430601e-14,8592.09999975,10870.5361554,0.0,9999977.4539,100000007.105,10
32,0.999999592233,9.16057809276e-14,9002.94289489,10540.1735726,0.0,9999977.34431,100000007.461,10
33,0.999999589868,8.85880518638e-14,9155.27509167,10995.9994487,0.0,9999983.37991,100000005.173,10
34,0.999999579054,8.8611302965e-14,9656.20336192,11409.4181155,0.0,9999988.65056,99999998.4284,10
35,0.999999570032,9.50127615455e-14,10136.0970176,11072.9668983,0.0,9999988.77199,99999995.2121,10
36,0.999999566131,9.36145313037e-14,10121.6109674,10247.0355523,0.0,9999988.05348,99999999.7831,10
37,0.999999551936,9.83072699821e-14,10753.6400255,10317.5582018,0.0,9999988.28977,100000004.173,10
38,0.999999555506,1.00036358574e-13,10557.319181,10993.791538,0.0,9999986.89214,100000004.641,10
39,0.999999543872,1.06261028202e-13,11164.39116,11723.739935,0.0,9999986.90284,100000006.321,10
40,0.999999531454,1.1093896957e-13,11627.6464455,12689.8151397,0.0,9999982.31617,100000010.209,10
41,0.999999521548,1.23221064079e-13,12516.9814423,13518.437043,0.0,9999982.32838,100000013.197,10
42,0.999999512807,1.22932365195e-13,12974.6459846,14024.2434774,0.0,9999988.31323,100000016.961,10
43,0.999999492846,1.2519377904e-13,13792.985713,13960.1214849,0.0,9999989.37839,100000017.569,10
44,0.999999504366,1.2509784381e-13,13383.1964214,14521.1076,0.0,9999987.77018,100000013.214,10
45,0.999999516893,1.39660753526e-13,13525.87284,13892.2103175,0.0,9999988.20147,100000010.485,10
46,0.999999521134,1.44182188129e-13,13700.7988944,14440.5922455,0.0,9999992.44441,100000009.265,10
47,0.999999496121,1.60600452104e-13,15291.3639064,15641.3725736,0.0,9999993.1515,100000008.938,10
48,0.999999497936,1.60092651642e-13,15258.3752833,16422.4845637,0.0,9999991.40602,100000012.084,10
49,0.99999948981,1.58630798134e-13,15628.3272899,16650.7912998,0.0,9999993.00601,100000011.648,10
50,0.999999481618,1.62564809668e-13,16086.1959512,16559.5836044,0.0,9999986.54854,100000013.864,10
51,0.999999480515,1.60120864108e-13,15945.3062702,16650.5191261,0.0,9999983.06133,100000016.609,10
52,0.999999460312,1.57707576696e-13,16319.5639206,17346.4394376,0.0,9999976.09809,100000017.581,10
53,0.999999447035,1.78609948504e-13,17713.1471786,17575.4064826,0.0,9999977.50882,100000023.989,10
54,0.999999441305,1.85698619341e-13,18087.7738751,18460.1547841,0.0,9999973.36078,100000030.226,10
55,0.999999428756,1.7313568831e-13,18230.352726,18278.7813886,0.0,9999976.30381,100000030.336,10
56,0.999999440453,1.53637763763e-13,16829.722542,18428.4982245,0.0,9999971.69865,100000026.347,10
